stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,21.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,50.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.35,0,4.56,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64,8.25,0,0,18.03,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.94,6.53,0,0,3.02,0,0,0,0,0,0
 14-21,0,0,1.25,5.2,1.07,2.89,0,0,0,0,0,0,0,0,0,0,3.57,0,0,27.31,0.83,0,0,0,0,0.98,3,20.54,0,0
 24-34,0,0,0,5.08,0,5.97,1.86,0,7.07,0.67,0,0,0,0.66,0,6.93,11.09,0,0.92,46.91,0,0,0.68,0,1.37,0,0,28.14,0,0
 36-46,0,0,0,6.22,0,13.6,5.35,0,3.8,0,0,0,0,0,0,0,10.34,0,0.65,69.02,0.68,0,0,0,7.7,0,0,17.21,0,0
 48-58,0,0,0,2.8,0,16.29,1.87,0.76,3.37,0,0,0.62,0,0,0,0,8.39,0,0.66,45.56,0,2.04,0,0,1.01,0,0,22.04,0.48,0
 60-70,0,0,0,1.96,0,35.07,2.57,0,1.38,0.62,0,0,0,0,0,0,9,0,0,40.37,0,0.92,1.01,0,0.57,0,0,1.82,10.18,0
 72-82,0,0,0,0,0,23.47,0,0,2.12,0,0.6,0,0,0,0,0,12.98,0.55,0,30.57,0,0,0,0,0,0,0,8.82,1.42,0
 84-94,0,0,0,0,1.35,13.23,2.36,0,19.74,0,0,0,1.18,3.4,0.57,0,3.62,0,0.59,30.09,0,0,0,0,0,0,0,3.13,0,0
 96-106,0,0,0,4.46,2.8,5.94,0,0,8.66,0,0,0,0,0,0,0,18.59,0,1.08,20.23,0,1.18,0,0,4.86,0,0,4.93,1.58,0
108-118,0,0,0,3.02,6.34,14.16,2.64,0,3.69,1.06,0,0.42,0,0,0,0,1.55,0,0.72,23.07,0.67,0,0,0,1.04,0,0,0,1.79,0
120,0,0,0,4.55,0,24.88,0,0,0,0,0,0,0,0,0,0,0,2.35,0,12.36,0,0,0,0,0,0,0,13.16,0,4.96
