stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.16,5.8,0,0,5.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,4.61,2.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.59,0,0.64,0,0,2.49,0.93,0,0,13.54,0,0,0,0.82,2.6,0,0,0
 36-46,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,4.1,0,0,7.88,0,0,1.77,0,0,0,0,1.47
 48-58,0,0,0,0,0,0.77,0,0,7.46,0,0,0,0,0,0.6,0,0.77,1.44,0,0,9.66,0,0,0,0,0
 60-70,0,0,0,1.68,0,0,17.5,0,34.4,0,0.77,0,0,0,1.9,0,1.08,19.05,0,0,11.88,0,0,0.81,0,0
 72-82,0,0,0,0,0,0,22.15,0,60.7,0,1.52,0.92,0,0.49,7.41,0,0,58.51,0,0,4.8,0,0,0,0,0
 84-94,0,16.21,0,0,0,0,30.88,0,94.5,0,4.5,0,0,0,0,0,0,77.84,0,0,3.09,0,0,0,0,0
 96-106,2.08,0,0,2.05,0,0,21.14,0,180.55,0.72,2.77,0,0,0,22.09,0,0,100.1,0,1.17,3.33,0,0,0,0,0
108-118,0,2.21,6.27,0,0,3.34,34.99,0,105.17,0,2.31,0.43,1.21,0,2.87,0.5,0,98.31,0,0,6.83,0,0,1.2,0,0
120,0,0,0,0,6.39,0,9.44,0,97.93,0,4.34,0,0,0,4.83,0,0,130.81,0,2.24,11.54,0,0,0,1.52,0
