stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,28.1,627.39,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0
  5-6,16.41,707.68,0,0,0,0,0,0,0,0,51.92,16.64,0,16.9,0,0,0,0
  7-9,14.6,5.36,8.1,0,22.1,0,0,16.37,0,0,192.08,7.59,0,39.48,0,0,0,0
 10-12,0,0,12.93,0,9.97,0,0,14.08,0,0,246.56,0,0,92.9,0,7.91,0,0
 14-21,0,0,0,4.55,1.46,0,1.23,0,0,0,6.4,0,0,0,0,0,0.88,0
 24-34,0,0,0,0,1.36,0,0.95,0,1.82,0.64,20.89,0,0.73,0,0,0,3.47,0
 36-46,0,0,0,0,2.74,0,1.44,0,1.36,0.6,7.21,0,0,0,0,0,2.71,0
 48-58,0,0,0,0,2.12,0,0,0,1.4,0,3.92,0,0,0,0,0,0.85,0.45
 60-70,0,0,0,0,0,0.62,0,0,1.07,0,4.58,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.88,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.61,0,0.56,0,0.87,0,0,0,0,0
