stage,axial,blastomeres,epidermis,eye,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,0,88.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.88,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,3.65,0,0,0,5.14,0,0,0,3.63,0,0,34.47,0,0,0,0
 10-12,0,0,0,6.86,0,0,0,0,0,37.83,0,0,18.93,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,9.31,0,0,0,1.28,0.99,0,0
 24-34,0,0,0.68,0.63,0,0,0,1.61,0.75,14.42,0,0,0,0,0,1.6,0
 36-46,0,0,0,2.04,0,0,0.78,0,0,60.33,0,0,0,0,0,0,0
 48-58,0,0,4.21,1.59,0,0,0,0,0.38,5.54,0.5,0,0,0,0,1.94,0
 60-70,0,0,1.58,16.27,0,0,0,0,0,27.02,0,0,0,0,0,0,0
 72-82,0,0,0,2.99,0,0,0,3.63,0,12.79,0,0,0,0,0,0,0
 84-94,0,0,0,6.19,0,0,0,0,0,0.59,0,0,0,0,0,0,1.68
 96-106,0,0,0.76,0,0,0,0,1.15,0,26.12,0,0,0,0,0,0,0
108-118,0,0,0.55,1.88,0.92,0,0,0,0,5.43,0,0.81,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,14.99,0
