stage,axial,blastomeres,endoderm,epidermis,eye,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,notochord,periderm,spinal_cord
  3-4,0,40.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,8.18,0,0,0,0,0,0,0,0,0,5.59,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,1.1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
 48-58,0,0,0,0,0.73,0,0,0,0,0,0,21.8,0,2.94,1.04
 60-70,0,0,0,0,1.64,0,1.02,0,0,0,1.14,4.62,0,3.76,0
 72-82,0,0,0,0,9.78,0,5.07,0,0,0,0,5.73,0,4.42,0
 84-94,0,0,0,1.28,8.06,8.28,0.89,0.65,2.79,0,0,15,0,3.42,0
 96-106,0,0,0,2.19,3.72,0,5.92,0,0.77,0,0,5.09,0,14.83,0
108-118,0,0,0,2.57,5.97,1.86,3.63,0,0,1.44,0,0,0,10.59,0
120,0,0,0,2.54,0,0,0,0,0,2.49,6.25,0,0,0,0
