stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,0,0,0,5.87,0,0,0,0,0,0,0,0,0
 10-12,0,19.43,99.67,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,427.85,0,0,0,52.27,18.91,0,153.12,0,0,0,0,0,0
 14-21,2.31,0,18.43,2041.45,61.25,7.06,0.91,0,2.06,60.56,0,13.13,2.07,31.37,0,13.19,118,8.22,0,22.71,109.99,10.94,0,0,46.28,410.62,48.16,14.2,3.31,3.69,18.08,0,0,6.17
 24-34,0,0,13.75,253.29,0.77,23.58,26.06,0,2.75,8.03,1.11,2.02,0,0,0.73,18.2,90.08,2.27,0,18.62,67.07,0,0,0.61,0,133.94,0,0,0,0,5.58,16.08,0,2.68
 36-46,0,0,0,20.37,0,2.08,2.32,0,0,0.95,0,0,0,2.37,0,1.29,11.58,0,1.54,6.62,33.4,0,0,0,0,52.59,0,0,0,0,0.94,0,0,0
 48-58,0,0,0,4.76,0,2.02,0,0.57,0,0,0,0,0,0,0,0,2.5,0,0,0.91,16.33,0,0,0,0,6.87,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.01,1.38,0,0,0,0,0,0,0,0,0,1.58,0,0,0.82,6.4,0,0,0,0,0.8,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,1.08,0,0,0,0.66,0,1.56,0,0,0,0,0,0,0,1.97,0,0,0
 84-94,0,0,0,1.85,0,0,1.09,5.42,0,0,0,0,0,0,0,0,0.58,0,0,0,1.71,0,0,0,0,1.35,0,0,0,0,0,0,1.95,0
 96-106,0,0,0,0.99,0,4.34,0,2.78,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.79,0,0.45,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
