stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,83.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.27,0,0,0,0,0,0,0,0,0,0
  5-6,108.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,2638.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.91,9.08,0,0,43.36,0,513.66,0,0,0,0,0,0,0,0,0,0
 10-12,7.88,0,10.82,0,0,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.66,0,0,0,11.12,0,161.13,0,12.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,32.02,1.49,0,3.84,0,0,0,0.88,0,0,0,0,0,0,0,1.78,0,1.81,16.29,0,2.44,81.3,0,0,0,1.09,0,3592.95,8.03,0,0,4.51,9.61,0,0,0,0,0
 24-34,0,0,0.81,29.26,3.21,0,13.32,0,9.55,0,5.25,0,0,7.18,0,5.93,0,0.93,18.32,6.43,16.37,32.94,0,8.72,245.48,5.5,2.6,4.7,0,0,3655.94,0,0.69,0,1.25,35.7,0,0,7.23,0,0
 36-46,0,0,0,24.5,0,0,17.71,0.76,31.71,0,8.36,0,0,11.87,0,6.36,0,1.15,17.56,2.15,12.33,46.43,0,2.17,150.14,0.9,0,0.61,0,0,5274.76,0,0,0,0,29.32,0,0,1.78,0,1.05
 48-58,0,0,0,53.69,1.09,0,49.08,0,37.93,1.91,7.78,1.53,1.56,1.22,0,3.42,0,0,5.57,1.28,15.23,22,0,2.75,170.09,0,2.02,0,0,0.79,3802.82,0,0,0,0,44.75,0,0.44,0,0,10.55
 60-70,0,0,0,131.26,0.64,0,78.34,0,28.86,1.47,11.57,1.64,0,0,0.78,12.5,0.82,0,10.48,0,24.49,21.24,0.65,0,101.21,0,1.8,6.95,0,0,3051.14,0,0,0,0,22.09,0,2.51,1.59,0,14.83
 72-82,0,0,0,200.27,3.19,0,46.34,0,49.81,0,14.01,17.83,0,0,0,14.74,3.18,0.49,13.44,0,9.32,16.77,4.57,2.55,79.95,0,1.77,5.05,0,0.89,2209.65,0,0,0,0,1.58,14.32,0,3.31,0,20.88
 84-94,0,1.11,0,596.66,2.19,0,39.3,0.69,201.06,1.43,7.25,31.94,0,1.04,0,95.14,3.19,0,0,0,10.17,53.95,1.32,0.84,71,0,5.86,0,0,4.36,7208.18,0,0,0,0,5.23,44.69,0,0,0,8.31
 96-106,0,0,0,795.12,32.29,4.27,90.99,0,217.03,1.56,28.2,48.27,0,1.46,4.94,126.84,4.08,4.45,3.09,0,45.29,91.43,3.1,4.07,234.49,0.6,2.74,1.56,0,0,7261.65,0,0.87,0,0,13.1,27.01,3.44,10.5,0,26.95
108-118,0,0,0,824.91,10.63,3.87,74.48,0,406.53,2.45,16.54,48.42,0,3.97,0.74,198.38,6.55,3.52,9.57,2.1,39.42,132.87,0,1.61,170.95,0,0,3.34,0,1.32,8514.92,0,0,0.53,0,6.54,28.37,0,1.4,3.93,5.33
120,0,0,0,344.67,0,5.48,44.84,0,179.55,10.78,20.77,16,0,0,1.01,74.3,0,0,13.37,0,29.79,45.52,1.38,3.96,181.16,0,0,1.98,0,2.76,3312.86,0,0,0,0,10.07,9.39,0,1.65,0,14.84
