stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1297.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0
  5-6,55.65,1092.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.5,0,0,17.8,0,0,0,10.03,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,218.65,4.17,0,0,52.7,0,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.18,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.66,20.43,0,0,20.12,0,6.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.57,2.04,0,0.81,0,0,0,0,0,4.04,0,0,0,0,0,0,0,1.88,0,0,2.85,10.25,0,0,0.84,0,0,2.03,0,1.03,0.96,0.85,1.06,0,0,0,0,0
 24-34,0,0,0,0.6,7.48,1.43,0,2.91,0,0.93,0.74,2.69,0,0,0,5.39,1.32,0,1.31,0,1.54,9.1,0,0,8.19,30.9,0,0,0,0,0,18.72,0,0,0,0,5.27,0,0,9.16,0,0.7
 36-46,0,0,0,0,1.48,16.13,0,3.95,0.73,0,0,4.76,0,0,0,2.2,0,0,0,7.26,1.99,15.49,0,0,3.36,32.76,1.47,1.42,0,0,0,59.25,0,0.86,0,0,9.11,0,0,10.68,0,40.98
 48-58,0,0,0,0,9.57,3.56,0,19.24,0.58,1.12,1.22,10.42,0.58,0,0.47,1.77,0.38,0,0.91,3.27,3.54,17.48,0.49,1.13,5.29,39.29,0.71,0.75,0.64,0,0,39.25,0,0,0,0,10.65,0,0,4.02,0,56.7
 60-70,0,0,0.86,0,5.62,2.52,0,24.37,0,0,1.27,21.43,0.69,0,1.35,2.56,2.01,0,5.97,0,3.03,26.74,0,1.8,4.03,25.86,1.13,3.65,1.18,0,0,29.29,0,0,2.5,0,4.69,0,1.7,1.71,0.87,49.11
 72-82,0,0,0,0,3.13,1.72,0,31.86,0,0.55,1.47,19.63,6.7,0,0.87,4.02,1.71,0,0.79,10.03,2.65,28.01,0.96,0.75,6.56,44.24,0,4.85,1.04,0,0,9.97,0,0,0,0,9.36,0,0.5,3.51,0,34.23
 84-94,0,0,1.11,0,7.56,4.94,0.59,16.82,0.7,0.81,2.91,30.19,11.3,0,1.18,6.62,3.83,1.39,3.67,3.72,9.48,27.58,0,0.58,1.57,21.01,2.02,10.15,2.36,0,0,47.49,0,0,2,0,0.58,0,1.41,8.47,1.61,12.03
 96-106,0,0,0.83,0,7.26,3.06,0.6,25.87,0,0.9,3.94,16.27,72.59,0,3.9,10.78,7.82,2.23,5.81,12.13,1.75,28.28,0,0.93,3.51,25.43,0,13.81,4.7,0,0.83,21.27,0,0,2.51,0,10.33,0,0,8.68,0.61,0
108-118,0,0,0.47,0,16.74,6.68,1.21,21.95,0,1.72,9.59,15.04,79.95,0,0,12.97,3.7,0,3.16,9.43,4.35,46.03,0,0,2.29,47.99,0,5.28,3.77,0,2.26,14.1,0,0,0.7,0,0,4.34,0.85,6.79,2.88,6.75
120,0,0,0,0,9.07,3.49,0,17.8,0,1.19,2.35,14.43,46.26,0,0,20.28,1.28,1.17,9.92,10.01,0,41.04,1.05,2.75,2.82,45.97,0,1.11,9.05,0,11.71,15.11,0,0,1.97,0,0,0,0,3.05,0,0
