stage,axial,epidermis,hatching.gland,immune,ionocyte,mural.cell,otic
  7-9,3.67,0,5.41,0,0,0,0
 24-34,0,0,0,0,0,0,0.78
 84-94,0,0,0,2.13,0,0.58,0
 96-106,0,1.73,0,0,2.49,0,0
108-118,0,2.75,0,0,0,0,0
