stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,3.68,0.82,0,0,0,0,0,0,1.79,1.08,0,0,0,30.87,0,0,460.7,13.94,0.9,0,0,0,0.91,28.29,0,831.64,2.25,0,0,0,0
 24-34,0,0,11.64,0,2.41,0,0,13.89,22.44,0,0,0,0,0,2.61,171.28,0.74,0,337.52,45.85,0,0,0,0,5.74,0,0,140.74,9.67,0,0,2.41,0
 36-46,0,0,5.55,0,3.14,0,0.71,14.32,39.5,0,0,0,0,0,0,290.44,0,0,181.93,43.94,0,3.1,0,0,0,0,0,1.34,7.08,0,1.23,0,0
 48-58,0,0,4.53,1.12,19.09,0,11.01,14.3,29.79,0,0,0,0,0,0,423.16,0.74,0,197.04,37.08,0,0,0,0,0,0,0,0,4.8,0,0,0,0
 60-70,0,0,13.86,0,7.48,1.01,9.35,29.03,8.09,0,0,0,0,0,0,479.2,0,0,81.02,41.4,0,0,0,0,0,0,0,0,3.09,0,6.1,0,0
 72-82,0,0,2.13,0,40.93,0,1.51,58.22,17.31,0,0,0,0,1.21,0,1042.57,0,1.11,193.57,80.45,0,0,0,7.81,2.62,0,0,0,3.19,0.81,19.73,0,0
 84-94,0,0,3.92,0,66.5,1.43,0,74.09,13.66,0.56,0,1.89,0,0,0,767.63,0,7.46,78.57,49.69,5.19,0,0,0,0,0,0.92,0,5.15,1.4,19.08,1.14,0.74
 96-106,0,0,3.27,0,18.65,0,0,22.1,11.6,3.22,1.34,2,0,0,0,755.02,0,0,74.59,44.8,1.36,0,0,2.88,2.94,0,0.64,0,3.32,0,32.15,1.47,3.59
108-118,0,0.98,2.65,0,27.11,0,0.85,33.88,11.24,0,0.46,0.91,1.01,0,0,845.54,4.6,3.69,91.57,70.33,1.1,0,0.44,4.84,0,0,0,0,0,0,27.66,6.47,1.42
120,3.99,0,3,0,16.71,0,5.09,16.81,6.29,0,5.69,0,0,0,0,1166.06,0,8.78,139.7,74.08,0,0,1.67,0,1.18,0,0,0,5.23,0,30.7,0,0
