stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,3.16,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,0,0,1.5,0,0,0,0,7.59,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0.67,0,0,0,0
 36-46,0,0.74,0,1.14,0,0,0,0,34.88,0,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.85,1.17,0,1.33,0,3.86,0,0,0,0,0,0,1.24,4.6,0,0,0,2.74,0,0,0,0,2.66,0
 60-70,0,0,0,7.17,3.47,0,7.97,0,0,8.39,1.37,2.26,0,0,0,9.15,2.51,0,0,0,0,0,0,11.83,0,0,0
 72-82,0,3.93,0,1.54,0,0,35.83,0,2.07,0.64,2.49,0.66,0,0,0,5.63,8.63,0,0,0,0,0,0,0,0,0,0
 84-94,0,8.49,0,5.66,14.32,0,22.38,0,0,0,0,3.67,0,0,0,0,8.73,0,1.46,0,0,0,0,2.82,0,2.23,0
 96-106,0,1.91,0,11.86,3.64,0,13.63,0,2.18,0,1.55,8.86,0,0.88,0,9.08,5.37,0,0,0,0,0,0,0,1.41,0,0
108-118,0,5.3,0,23.74,22.82,0.65,40.79,0,4.43,0,1.37,2.26,0,0,0.91,8.93,24.42,0,0.7,0,1.11,0.73,0,0,3.31,0,0
120,0,6.45,0,21.45,10.22,0,30.27,0,0,12.97,4.94,0,1.13,0,5.56,9.31,3.5,0,0,0,0,0,0,0,4.27,0,3.74
