stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.1,34.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.67,16.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.24,6.81,0,4.59,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,31.76,8.59,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.86,0,0,0,4.71,0,0,0,0,0,0,0,0,32.29,14.87,0,0,60.4,0,3.78,0,15.78,0,3.87,5.32,0,0,0,0,0
 14-21,0,0,0,0,11.51,0,3.89,0,0,0.98,0,0,0,0,0,0,1.64,0,0,19.09,1.24,0,0,1.89,0,1.38,5.56,0,1.01,1.87,2.5,0,0,0,0,0
 24-34,0,0,0,0,4.74,0,1.97,0,0,0,0,0,0,0,0,0.63,0.65,0,1.05,20.38,0,1.38,0,0,0.6,0,0,0,0,0.62,3.12,0,0,1.79,0,1.01
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,3.13,0,0,7.93,0,0.66,0,0,1.12,0.74,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,24.03,0,1.77,0,0,0.44,0,0,0,0.41,2.13,0,0.56,7,5.98,1.25,0.39,0,0.38,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,117.06,0.58,0,0,0,0.76,0,0,0,0,3.8,0,0.58,4.4,0,1.03,0.85,0,0,0,0,0,0,0,0,0,0,0,0.64,0
 72-82,0,0,0,0,0.69,0,218.9,0,1.6,0,0,0,0,0,0,0.62,11.47,0,0,12.07,0,0,0.66,0,0,0,0,0,0,0,1.87,0,1.32,0,1.47,0
 84-94,0,0,0,0,2.9,0,244.4,0.76,0,0,1.52,0,0,0.61,1.97,0,9.14,1.08,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.99,129.04,0,0,0,0,0,0,0,0,0,1.06,0,0,6.7,0,2,0.61,0,1.26,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.64,0,1.01,0,138.95,0,1.61,0.74,0,0,0,0,2.65,0,7.98,0,0.73,13.2,0,0.75,0.54,0,0,0,0,0,0,0,0,0.68,0,0,1.8,0
120,0,0,0,0,0,0,118.67,0,14.07,0,0,0,1.11,1.28,1.91,0,7.64,2.22,0,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0
