stage,blastomeres,hatching.gland,immune,neural,notochord,paraxial.mesoderm
  5-6,25.96,0,0,0,0,0
  7-9,7.9,4.26,0,25.57,5.59,13.83
 10-12,0,0,0,9.5,0,7.93
 96-106,0,0,0.61,0,0,0
108-118,0,0,0.62,0,0,0
