stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,3.48,0,3.56,0,0
 14-21,0.87,0,0,0,0,2.74,0,0,0,1.26
 24-34,0.61,0.68,0.75,0,1.34,9.22,0,0,0,1
 36-46,0.89,2.94,0,0,0,11.51,1.14,0,0,4.13
 48-58,0,3.44,1.26,2.76,0,8.63,0,0,0,6.17
 60-70,0,1.11,0,0,0,24.58,0,0,0,0
 72-82,0,6.57,3.89,0,0,4.25,0,0,0.57,1.51
 84-94,0,1.7,0,0.64,0,1.39,0,0,0,4.66
 96-106,0,17.29,0.61,1.25,0,11.54,0,0,0,2.51
108-118,0,1.03,2.17,0.66,0,6.86,0,0,0,3.12
120,0,0,0,0,0,13.99,0,0,0,0
