stage,endocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0
 36-46,0,0.68,0,0,0,0,0,0,0,0,0,2.2,0,0,0
 48-58,0,1.63,0,0,0,0,0,0,0,0,0,1.19,0,0,0
 60-70,0,1.52,0,0,5.56,0,0,0,1.97,0,0,1.84,0,0,0
 72-82,0.69,0,0.96,0.66,3.98,0,0,0,8.51,0,0.73,0,0,0,0.51
 84-94,1.29,0,0,0,5.48,0,0,13.96,4.68,0,0.96,7.28,2.2,0,0.6
 96-106,0,0.84,0,0,4.07,0,0.63,7.37,4.59,0.84,0,4.61,3.54,1.81,1.44
108-118,0,0,0,0,0.5,0,0,2.53,3.57,0.91,0.75,1.11,3.91,0,0
120,0,0,0,0,3.21,0,0,1.97,2.33,0,0,3.7,0,0,0
