stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,4.44,0,2.64,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,6.93,0.88,0,0,31.76,0.84,3.89,0,0,0
 24-34,4.15,0,3.01,0,0.61,0,0,0,0,0,0,0,0,0,2.67,0,1.27,60.41,0,1.54,2.93,90.65,0.74,12.11,0,0,0
 36-46,0.74,0,12.98,1.53,2.23,5.43,0,0,0,0,0,0,0,0,2.93,0,0.65,107.65,0,4.64,0,91.65,0,16.2,0,0,0
 48-58,8.83,0,16.84,0,5.32,3.63,0,0,0,0,0,0,0,0,2.45,1.31,0.49,69.2,0,0.4,0,76.38,0,13.46,0,3.3,0
 60-70,9.61,0.7,49.43,0,0,6.75,0,0,0,0,0,0,0,0,6.26,1.83,2.04,77.41,0,1.43,0,99.27,0,15.46,0.92,0,5.08
 72-82,8.52,0,40.16,0,0,9.01,0,0,0,0.63,0,0,0,0,4.93,1.66,0,79.87,0,0.56,0.53,63.36,0,6.03,0,2.07,0
 84-94,6.48,0,13.26,0,0,4.23,0.9,0,0.79,1.55,0,0,0,4.2,7.22,9.36,0,76.14,0,0,0.74,156.7,0,15.69,0,0,0.61
 96-106,13.43,0,24.9,0,0,6.42,0,0.99,0.56,1.23,8.58,1.86,0,0.77,6.31,0.69,0,29.46,0,0,0,161.16,0,3.26,4.4,6.91,1.21
108-118,34.15,0,17.65,2.3,0,2.1,0.8,0,1.92,0.42,3.55,0,0,2.18,10.46,4.96,0,34.21,0,5.85,1.5,114.91,0,4.19,2.9,5.08,0
120,43.49,1.73,3.46,9.44,0,14.56,3.91,0,0,0,0,0,3.84,0,3.67,2.05,1.11,51.69,0,12.19,1.51,90.22,0,13.33,0,15.55,0
