stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,244.37,3762.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,250.8,4630.72,0,8.02,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,88.32,0,0,0,9.15,0,39.66,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.94,387.82,0,2229.04,0,5.98,0,753.29,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,19298.11,119.87,0,0,2504.6,0,9.87,55.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,85.49,0,1012.22,0,0,0,432.98,0,0,0,0,0,20.21,0,0,0,0,0,0,0,0,0,0,8604.57,31.09,0,0,678.42,0,0,0,3.57,80.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,17.23,772.81,34.72,0,187.97,0,0.81,0,6.61,0,0,1.89,0,0,0,0.92,0,18.21,0,0,11.68,675.03,5.62,0.85,4.41,5.37,0,39.64,4.64,73.9,3.5,0.99,60.67,122.38,0,0,19.4,0,0
 24-34,0,0,0,11.43,538.61,4.91,0,192.71,0,17.97,0,15.35,5.94,0,3.1,0,1.34,0,4.08,4.21,79.46,2.87,0.91,16.22,950.48,0,7.19,14.43,0,0,84.97,0,1.1,8.42,0,14.54,143.29,0,0,76.5,0,0
 36-46,0,0,0,2.03,249.16,2.82,0,94.64,0,22.9,1.44,50.99,6.32,3.2,3.64,6.12,6.45,0.94,2.33,3.26,117.98,0,4.8,16.89,602.62,7.05,5.49,13.95,0,0,59.6,3.62,0,1.2,0,0,99.74,0,0,91.27,0,6.74
 48-58,0,0,0,1.58,254.08,11.45,0,138.25,0,34.91,4.68,86.63,2.01,0,7.56,15.43,0.4,0,16.21,5.25,158.61,4.18,1.72,24.1,388.65,0,3.26,17,0,0.61,45.85,0,0,0.92,0.76,0,53.44,0,0,85.25,0,0
 60-70,0.81,0,0.65,0,232.51,1.01,0,49.58,0,18.16,5.12,147.27,11.38,0,7.74,19.85,1.69,5.9,11.59,3.25,194.17,6.74,3.69,17.02,220.22,0,1.21,21.79,0,0,60.8,0.64,0,0,0,0,32.26,5.17,4.21,91.72,3.08,0
 72-82,0,0,1.29,0.56,160.41,31.79,1.86,79.35,0,5.39,6.98,156.72,12.93,0.6,9.98,60.58,3.36,1.86,27.19,8.72,162.27,0,3.8,22.56,230.43,1.15,10.83,18,0,1.06,30.24,0,0,0,0,0,3.55,18.14,0,131.55,0.99,6.61
 84-94,0.62,0,0,0,244.75,8.24,3.12,85.91,0,16.14,9.81,125.69,13.25,0,5.13,55.89,8.26,2.99,12.24,2.65,149.21,10.49,13.32,36.96,195.09,0.73,14.35,35.43,0,0,121.65,0,0,3.11,0,0,9.29,61.44,1.88,95.78,4.39,0
 96-106,0,0,0,0,173.49,20.05,0.72,72.58,4.47,3.72,8.15,116.02,27.58,0,7.54,48.08,9.41,0,12.07,8.99,121.55,0.65,5.8,29.93,167.15,1.18,11.07,15.61,0,0,97.15,0.64,0,0.9,0,0,0.84,43.77,4.78,97.85,0,0
108-118,1.35,0,0.97,0,151.98,17.3,1.31,57.74,0.45,21.18,11.51,184.36,32.92,0,7.16,34.22,8.16,3.46,16.89,2.15,186.05,2.01,9.74,34.1,255.79,1.21,11.23,17.47,0,0.95,92.63,1.21,0,1.77,0,0,7.91,74.86,2.78,110.3,9.03,0
120,0,0,0,0,102.27,18.61,0,50.92,0,25.21,10.35,216.03,20.59,0,1.54,56.22,10.36,1.59,8.14,6.31,287,1.65,6.13,66.74,211.97,2.07,11.52,22.61,0,11.6,69.51,0,0,1.14,0,0,8.93,12.77,5.96,93.15,16.88,0
