stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,1.96,0,0,0,0,0,0,0,0,0,198.83,0,0,0,0,0,0.76,0,0,0.89,18.34,0,0,0,0,1.42,0,0,0,4.98,0,0,0,0,0
 36-46,0,0,3.86,0,0,0.76,0,0,0,0.79,0,0,841.56,0,0,0,0,0,11.16,0,0,0,12.26,0,0,0,0,0.75,0,0,2.2,1.92,0,0,0,0,0
 48-58,0,0,0,0,0,8.56,0,0,0,3.55,0,0,937.19,0,0,0,0,0,1.15,0,0,0,23.04,0,0,0,0,2.68,0,0,0,3.36,0,0,0,0,0
 60-70,0,0,0,0,203.26,7.35,0,0,0,0,0,0,697.14,0,0,0,3.74,0,1.1,0,0.89,0,48.67,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0
 72-82,0,0,2.09,16.09,3196.03,70.12,0,0,2.56,16.91,0,0,741.85,5.87,3.14,0,1.49,0,36.56,3.14,0,5.73,331.74,0,0,2.28,0,6.45,0,2,0,14.75,0.94,0,7.95,0,10.33
 84-94,0,0,17.14,19.86,5481.88,105.06,0,7.53,0,15.74,9.8,1.66,1042.89,0.92,5.22,0,3.85,17.66,38.73,0,1.37,0,453.58,0,2.33,0,0,8.15,0,0,0,15.08,0,0,3.09,0,0
 96-106,0,0.87,84.01,210.9,22764.52,572.92,0.72,21.65,22.96,167.64,40.68,1.89,1062.74,9.88,14.88,12.83,60.46,8.79,315.45,7.73,10.04,61.1,1407.64,3.32,26.38,6.12,14.29,158.92,3.82,3.05,1.32,19.93,5.81,5.02,56.66,2.66,31.37
108-118,0,7.7,118.72,101.79,53286.44,1030.98,3.85,24.66,23.49,245.39,31.93,3.01,865.49,22.5,52.81,15.32,93.04,7.27,536.88,15.82,8.19,58.62,2626.51,9.85,17,16.39,9.08,186.53,0,4.13,0,34.34,4.8,7.42,63.23,21.01,81.72
120,0,11.6,194.06,113.62,24035.62,640.78,5.26,18.51,24.61,358.27,41.79,4.21,1170.71,8.28,0,22.47,37.4,0,702.69,3.22,61.06,29.9,3005.93,12.13,9.2,63.21,11,140.28,0,102.14,2.86,78.34,4.47,36.06,83.21,49.75,80.22
