stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,44.88,412.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0
  5-6,25.07,246.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.42,0,0,16.39,0,0,0,0,0,0,0
 10-12,0,0,14.48,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.86,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,3.53,0,0,0,1.25,0,0.99,1.34,0,0,0
 24-34,0,0,0,0,0,3.03,0,0,0,0,0.81,0.67,1.32,0,0,0,0.72,0,0,3.15,0,0,0,3.94,0,0,4.18,0,0,0
 36-46,0,0,0,0.64,0,3.31,0.74,0,0,0,0,0,11.08,0,0,0,0,1.5,0,3.01,1.48,0,0,5.98,0,0,1.99,0,0,0
 48-58,0,0,0,0,0,2.68,0,0.38,0.62,0.39,0,0,4.73,0,0,0,2.31,0,0.88,3.9,0,0,0,1.31,0.42,0,2.13,0.49,0,0
 60-70,0,0,0,0,0.75,10.42,0,0,1.16,5.35,1.77,0,0,0,0,0,3.8,0,1.71,3.63,0,0,0,1.95,0.68,0,7.18,0,0,0
 72-82,0,0,0,0,0,3.69,0,0,2.69,0,0,0,0,0,0,0,11.62,0,0,4.54,0.74,1.16,0,5.51,0,0,0.63,0,1.47,0
 84-94,0,0,0,2.1,0,0.97,0,0,1.69,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,4.33,0,0,0,0,0,0
 96-106,0,0,0,0,2.28,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,2.61,0,0,0,0,0,0
108-118,0,0,0,1.16,0,1.14,0,0,0,0.58,0,0,3.36,3.63,1.99,0.94,6.11,0,0,0,0,0.67,0,1.5,0,0,0,0,6.52,0.77
120,0,0,0,4.09,0,0,0,0,2.8,1.04,0,0,0,0,0,0,0,0,1.1,4.75,0,4.54,0,1.02,0,0,0,0,1.96,0
