stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.97,1963.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.08,0,0,0,0,0,0,0,0,0,0
  5-6,96.22,2530.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.53,0,0,0,27.01,39.45,0,0,0,0,0,0,0,0,0,0
  7-9,111.13,117.34,0,138.8,0,0,215.48,0,0,0,0,104.19,0,0,0,0,0,0,0,0,2178.85,117.39,0,0,682.45,7.6,12.81,0,12.75,0,0,0,0,0,0,0
 10-12,0,50.37,0,99.78,0,40.76,123.83,0,0,0,0,33.92,0,0,0,0,3.73,0,0,3.87,1954.38,50.94,0,0,660.01,6.22,0,0,41.36,0,22.19,0,0,0,0,0
 14-21,0,0,0,0,17.72,1.95,5.83,0,0,0,0,0,0,0,0,0,0,0.86,0,0,46.86,0,0,1.74,0,0,0,6.03,0.84,1.23,2.88,19.9,0,0,0,0
 24-34,0,0,0,0,2.07,6.89,4.55,0,0,0,2.65,0,0,0,0,0,0,7.1,0,1.66,108.61,0,0,1.34,0,1.9,0,0,0,0,0.62,18.66,0,0.73,0,1.99
 36-46,0,0,0,0,2.74,0,9.58,0,0,0,3.89,0,0,0,0,0,0,11.46,0,1.21,71.08,1.58,0,0,0,5.08,0,0,0,0,0,25.81,0,7.01,0,0
 48-58,0,0,0,0,1.01,0,13.19,0,0.4,1.15,7.58,0,0,0,2.2,0,0,9.91,0,2.79,85.43,4.23,0,0,0,0.56,0,0,0,0,0,24.73,0,2.46,0,0
 60-70,0,0,0.89,0,0.64,0,13.61,0.99,2.64,0,5.97,0,0.57,0,0,0,0,9.02,0.64,1.2,81.14,0,1.09,0,0,2.38,0,0,0,0,0,11.48,0,1.03,0,0
 72-82,0,0,0,0,4.86,0,10.13,0,0,0.75,4.83,0,0,0,0,0.74,0,10.57,4.32,0.72,43.42,0,0,0,0,1.52,0,0,0,0,0,0,0.8,0,0,2.08
 84-94,0,0,0,0,1.48,10.39,8.24,0,1.21,0,1.59,0,0,0,0,0,0,12.87,4.89,1.69,28.14,0,0,0,0,1.78,0,0,0,0,0,0.74,1.17,0,0.66,0
 96-106,0,0,0,0,0.76,0,3.02,0,0,1.27,7.9,0,0,0.71,0,0,0,20.96,0.76,1.42,21.57,0,0.57,0,0,0.57,0,0,0.69,0,0,0,0,0,0.81,0
108-118,0,0,0,0,5.91,0,9.12,0,0.46,1.07,1.23,0,0.55,0,0,0,3.34,14.42,0,6.9,20.93,0,0,0,0,3.16,0,0,0,0,0,0,0,1.57,0,1.25
120,0,0,3.73,0,3.53,0,1.3,0,0,0,25.49,0,0,0,0,0,0,13.97,0,1.02,36.74,3.42,0,0,0,7.19,0,0,0,0,0,0,0,0,0,2.85
