stage,blastomeres,epidermis,eye,fast_muscle,immune,liver,muscle,neural,paraxial_mesoderm,periderm,vasculature
  3-4,23.34,0,0,0,0,0,0,0,0,0,0
  5-6,18.44,0,0,0,0,0,0,9.69,0,0,0
  7-9,0,0,0,0,0,0,0,16.29,0,5.09,0
 10-12,0,0,0,0,0,0,0,20.16,8.58,3.07,0
 14-21,0,0,0,0,0,0,0,1.48,0,0,0
 24-34,0,0.62,0,0,0,0,0,0,0,0.73,0
 36-46,0,0,0,0,0,0,0,1.98,0,1.51,0
 48-58,0,1.2,0,0,0,0,0,0.94,0,0.49,0
 60-70,0,0,0,0,0,0,0,0,0,5.32,0
 72-82,0,0,2.13,0,0,0,0,1.72,0,0.52,3.29
 84-94,0,0,0,0,0,0,0.96,0,0,2.44,0
 96-106,0,2.41,8.23,0,0,8.31,0,0,0,0,0
108-118,0,0.49,0,0,0,0,0,1.96,0,2.52,0
120,0,1.8,0,2.05,3.6,0,0,0,0,2.49,1.15
