stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,193.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,0,0
  5-6,41.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,48.84,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,2.38,0,0,1.06,6.12,0,0,0,0,1.23,23.05,0,0,0,0,0,0,0
 24-34,0,0,28.75,0.94,0,0,0,0,0,0,0,6.58,0,0,0,0,0.76,2.86,17,0,0,5.28,9.44,0,0,0,0,0,57.2,0,8.43,0,0,0,0,0
 36-46,0,0,7.51,0,0,0,0,0,0,0.6,4.31,3.7,0,0,0,0,5.01,0,31.09,0,0,4.28,9.53,0,0,0,0,0,39.14,0,0.9,0,0,0,0,0
 48-58,0,0,0,4.3,0,0,0.71,0,0,0.84,0,12.34,0,0,0,0,1.21,0,40.88,0,0,6.55,18.75,0,0,0.61,0.57,0,14.63,0,1.45,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.18,0,0,12.82,0.59,15.64,0,0,0,0,4.32,0,54.23,0,1.73,7.09,18.43,0,0,2.9,0,0,15.2,0,1.89,0,1.82,0,0.64,0
 72-82,0,1.29,0,0.71,0,0,14.72,0,0,5.86,1.64,96.79,0,0,0,0,7,0,50.18,0,6.44,3.14,36.98,1.1,0,4.52,0,0,20.61,3.02,1.87,0,0.51,0,1.14,0
 84-94,0,0,0.76,0,0,1.17,25.92,0.7,0,3.55,2.4,151.1,0,0,0,0,5.76,0,54.72,0,4.85,12.8,13.54,0,0,0,1.08,0,56.86,0,6.98,0,5.97,2.11,4.39,0
 96-106,0,1.92,0.79,6.02,4.17,0,30.89,0,0.69,8.27,5.43,302.82,0,0.79,1.39,0.89,16.72,0.68,67.49,2.26,9.68,3.43,61.8,0,0,9.77,10.28,0,35.87,0,2.05,0,1.99,2.84,4.62,4.36
108-118,0,0,0,0.8,0.77,2.17,28.05,0,0.42,3.57,4.63,417.27,0.47,2.44,0,0,15.89,0,93.84,0,13.54,4.06,41.63,0,1.9,3.53,1.59,0,47.29,0,4.93,1.08,2.93,5.01,1.61,0
120,0,0,0,0,0,0,33.6,0,0,4.24,0,404.03,0,2.03,0,0,9.49,0,110.68,1.63,2.13,4.72,11.8,0,0,0,2.63,0,23.24,0,2.14,0,6.47,8.66,13.95,3.17
