stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.09,1.96,7.78,3.84,0,3.74,0,0,0,1.21,0,0,0,0.95,0,0,0,0,3.51,0,0,6.04,63.07,0,0,3.07,0,0.9,4.36,18.98,0,4.84,23.45,0,0,0,0,0
 24-34,0,0.62,2.66,3.56,0.76,0,20.71,0,0,0,7.81,0,1.74,0.9,3.1,0,0,0,0,12.97,0,0,1.67,243.21,3.92,2.94,0,4.92,0,0,11.57,0,4.07,88.51,0,0,22.65,0,0
 36-46,0,2.14,0,0.58,0.69,0,28.28,0,0,0,6.72,0.83,0,0,28.11,0,0,0,0,8.58,0,0.77,0.62,355.87,11.88,1.44,0,2.54,0,0,30.75,0,0,112.49,0,0,4.43,0,0
 48-58,0,0,0,5.41,0,0,50.31,0,0,0.88,16.22,2.29,0,0.47,0,0,0,7.75,9.24,10.93,0,0.58,0.42,481.59,1.94,1.51,0,8.05,0,0,7.99,0,0,129.8,0,0.51,7.99,0,5.4
 60-70,0.81,0,0,14.92,15.48,0,185.6,0.94,2.4,2.62,4.52,9.79,1.49,0,0,1.2,0,1.41,0,8.97,1.53,1.3,0,531.68,14.24,0,0,9.3,0,0,2.75,0,0,106.03,0,0,4.86,0,1.76
 72-82,0,3.39,0,16.51,31.26,0,514.61,0,0.72,0,25.02,7.94,0.87,1.04,0.52,2.68,1.06,0,0,29.5,6.51,5.93,1.15,507.33,18.01,1.54,0,1.95,0,0,6.23,3.15,0,112.73,0,1.89,13.74,0.9,6.51
 84-94,0,1.92,1.01,9.85,12.74,2.25,373.03,0,1.63,0,35.75,6.51,0,0.59,1.54,0.9,0,0.82,0,29.44,5.11,0,2.73,462.94,17.93,2.94,0,7.16,0,0,4.62,0,0,61.56,1.6,0,16.67,0,0
 96-106,0,1.72,1.03,7.22,45.31,2.73,488.69,0,0,1.88,27.59,16.18,1.84,0.89,2.79,0,0.75,8.29,0.67,42.99,1.34,0.78,1.28,408.57,22.28,3.58,0,25.64,0,0,7.48,0,0,30.94,2.84,0,21.09,0.93,0.8
108-118,0,3.32,0,7.61,0.44,8.45,535.27,0,0.48,0,34.43,10.53,0,1.6,5.87,0,0.66,1.98,0,36.95,0.72,1.81,0.6,510.35,8.86,2.74,0,4.96,0,0,14.31,0,0,8.94,0,0,30.67,2.94,0.85
120,0,0,4.41,42.56,1.78,3.96,369.35,0,1.21,0,23,34.99,0,2.35,1.25,0,1.72,3.84,0,1.45,2.21,0,3.46,959.37,8.61,14.76,0,2.64,0,0,11.97,0,0,42.29,4.7,0,47.38,7.69,0
