stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,28.57,1792.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0
  5-6,29.66,875.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96,0,0,0,6.17,8.08,0,0,0,0,0,0
  7-9,0,0,0,35.19,0,0,0,4.84,0,0,0,0,39.05,0,0,0,0,0,0,0,408.81,13.97,0,0,108.39,0,0,0,0,0,0,0
 10-12,0,19.02,0,13.7,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,420.5,0,0,0,218.85,0,0,16.08,0,0,0,0
 14-21,0,0,0,1.78,17.76,6.03,0,6.35,0,0,5.21,0,0,0,0,0,0,6.36,0,8.57,225.96,0,1.57,1.04,12.75,5.09,19.95,4.19,0.81,43.82,0,0
 24-34,0,0,0,0,2.33,0,0,20.43,0.7,0,4.37,0,0,0,0,0,0,12.54,0,0.99,288.09,0,1.26,2.16,0,9.91,0,0,0,39.17,0,0.68
 36-46,0,0,0,0,0,0,0,43.28,0,0,2.73,0,0,0,0,0,0,9.16,0,0,140.64,0,1.28,0,0,2.68,0,0,0,22.58,0,0
 48-58,0,0,0,0,4.65,0.66,0,37.83,4.85,0,3.87,0,0,0,0,0,0,8.94,0.92,0.4,36.99,0,1.07,0,0,0,0,0,0,4.5,0,0
 60-70,0,0,0,0,0.71,0,0,45.43,0,0,4.25,0,0,0,0,0,0,2.27,0,0.68,17.87,0,0,0,0,0,0,1.17,0,1.83,0,0
 72-82,0,0,0.53,0,1.18,0,0.76,10.24,0,1.03,2.86,0,0,0,0,0,0,2.68,0.49,0,14.78,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.14,0,0,0,0,22.45,0,0,3.65,0,0,0,0,0,0,4.4,0,0,22.17,0,0,0.92,0,0,0,0,0,0,0,1.16
 96-106,0,0,0.87,0,0,0,0,15.42,0,0,6.61,0,0,0,0.56,1.73,0,3.57,0,0,21.2,0,0.57,0.65,0,0.66,0,0,0,2.19,0,0
108-118,0,0,0,0,0.48,0,0,18.41,0,0,7.13,1.48,0,0.87,0,0.6,0.81,2.71,1.73,2.04,16.93,0,0,0,0,0,0,0,0,2.28,0.58,1.17
120,0,0,0,0,2.07,0,0,2.98,0,0,2.05,0,0,0,0,0,0,4.56,0,0,15.45,0,0,0,0,0,0,0,0,0,0,0
