stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,pgc,spinal.cord
  3-4,39.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,133.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.58,0,0,0,0,21.06,3.59,16.34,0
 10-12,0,4.55,0,0,0,0,0,0,23.94,0,0,0
 14-21,0,0,1.39,0,0,0,0,0,4.45,0,0,2.64
 36-46,0,0,0,2.66,0,0,0,0,4.64,0,0,2.3
 48-58,0,0,0,1.86,7.48,0,0,0,2.66,0,0,0
 60-70,0,0,0,1.6,0,0,1.18,0,1.25,0,0,0
 72-82,0,0,0,6.19,0,0,0,0,0,0,0,0
 84-94,0,0,0.66,0,0,0.65,0,0,1.73,0,0,0
 96-106,0,0,0,2.28,0.91,0,0,1.72,6.6,0,0,0
120,0,0,0,0,0,0,0,0,10.78,0,0,0
