stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,199.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.14,267.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,7.5,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.28,0,31.91,0,0,0,0,0,0,0,0,0,0,0,0,269.12,5.22,0,0,70.08,0,0,0,0,0,0,0,0
 10-12,0,8.72,0,6.15,0,7.35,0,0,0,0,0,0,0,0,0,0,0,0,225.58,6.58,0,0,24.18,0,10.79,0,0,0,0,0,0
 14-21,0,0,0,0.94,8.61,6.96,0,0,0,0,0.96,0,0,0,0,4.84,0,3.79,57.54,0,0,0,2.13,3.49,0,11.22,7.11,12.7,0,0,0
 24-34,0,0,0,0,0.6,7,0,0,0.62,0.84,0,1.04,0,0,1.94,4.48,0,2.33,54.57,0,0,0,0,4.07,0,0,0,7.73,0,0,0
 36-46,0,0,0,0,0.69,2.57,0,0,0,0,0,0,0,14.48,0,8.67,0,0,42.62,0,0,0,0,3.85,0,0,0,0,0,0,0
 48-58,0,0,0,0,9.81,10.29,0,0,0,8.4,2.33,0,0,0,1.38,13.16,0,0.38,43.17,0,0,0.74,0,2.12,0,0,0,4.69,0.42,0,0
 60-70,0,0,0,0,0,9.5,2.44,0,0,3.56,0,0,4.43,0,0,4.3,0,0.69,12.43,0,0,0,0,1.07,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.15,0,0,0.88,5.65,0,0,0,0,0,10.84,0,1.83,24.24,0,0,0,0,0,0,0,0,10.36,0,0,0
 84-94,0,0,1.15,0,0.78,11.89,0,2.09,0,8.35,0,0,0,0,0,11,0,0.77,9.57,0,0,0.71,0,1.83,0,0,0,0,0,0.92,9.43
 96-106,0,0,0,0,0,4.99,0,0.62,0,2.47,0,1.39,0,0,0,9.89,0.84,0,10.45,0,0,0,0,2.25,0,0,0,0,0.78,0,0
108-118,0,0,0,0,1.99,8.73,0,0,1.94,4.71,0,0,0,0,0,7.95,2.75,0,10.61,0,0.43,0.53,0,0.88,0,0,0,0,0,2.28,0.65
120,0,0,0,0,6.48,0,0,0,0,20.73,0,0,0,2.19,0,5.15,0,6.61,29.24,2.55,0,0,0,4.14,0,0,0,0,0,0,0
