stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,spinal.cord
  3-4,30.51,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.21,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0
 36-46,0,0,0,0.83,0,0,0,0,0,0,35.15,1.14,0,1.49
 48-58,0,0,0,0.91,0,0,0,0,0,0,12.72,0,0,0.44
 60-70,0,0,0,1.34,0,0,0,0,0,0,43.88,0,0,0
 72-82,0,0,0,3.33,0.58,0,0,0,0.52,0.93,69.22,0,0,2.73
 84-94,0,0,0,4.96,0,0,0,5.72,0.84,0,68.25,0,0,0
 96-106,0,0,0,0.67,0,4,0.58,0,0,0,63.84,0,0,0
108-118,0,0.89,1.1,3.59,0,5.22,0.78,0,1.26,0,95.92,0,0,4.65
120,0,0,0,4.87,0,0,0,0,0,0,308.24,0,0,5.58
