stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,liver,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0
  5-6,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.07,0,0,0,0,0,6.7,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,1.07,2.94,0,0,0,1.14
 24-34,0,0,0.62,0,0,0,0,1.35,1.02,12.73,0,1.73,0,0
 36-46,0,0,0,0.67,0,0,0,0.58,0,6.43,10.01,0,1.01,0
 48-58,0,0,0,1.38,0,0,0,1.04,0,3.28,0,1.65,0,0
 60-70,0,0,0,1.83,0,0,3.22,0,0,3.7,0,0.82,0,0
 72-82,0,1.52,0,0,0.57,0.55,0,0,0,1.82,0,2.31,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0
 96-106,0,0,0,4.08,6.83,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.27,0,0.53,1.87,0,0,0
120,0,0,0,1.08,0,0,0,0,0,0,3.54,0,0,0
