stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0.86,0,0,0,0,0
 24-34,0,68.41,0,0,0,0,0,0,0,0,0.64,0,0,0,1.01,0,0,14.03,0,0,0,0,1.1,0,0,0,0
 36-46,0,75.71,0,1.29,0,0,0,0.76,0,0,0,0,0,0,2.87,0,0,9.39,0.93,0,0,0,0.71,0,0,0,0
 48-58,0.88,279.95,0,1.69,0,0,2.26,0,0,0,0,0,0,0,2.65,0.39,0.64,16.6,0.43,0,1.04,0,2.8,0,0,0,0
 60-70,0,717.44,0,4.26,0,0.61,0,0.91,0,0,0,2.99,0,5.94,12.01,0,0,48.1,0,0,0,0,2.75,0.63,1.82,0,7.61
 72-82,0,443.6,0,21.52,2.25,1.19,0,0,0.65,0,0,0,0,7.34,8.68,1.42,0.64,24.84,0,0,1.94,0,5.39,0,0,0,0
 84-94,1.23,483.07,0,0.55,0,0,0,0,1.36,1.59,0,1.22,0,0,6.36,0,0,31.69,0,0.61,0,0,0,0,0.57,0,0
 96-106,0.6,798.53,0,4,0,0,0,0,0.7,0.72,0,0,0,0,21.08,4.02,0,21.5,0,0,0.87,0,0.86,0,1.53,1.91,0
108-118,0.83,441.98,2.27,6.76,0,0,0,1.07,0.73,3.4,0,1.89,1.88,0,6.38,0,0,16.49,0,0,0.82,0,0,0,4.94,0,0
120,2.39,473.88,0,0,0,0,2.59,0,0,0,0,0,0,0,3.17,2.35,0,2.56,0,0,0,0,0,0,0,0,0
