stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,68.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,218.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,3.35,6.96,0,0,0,0,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.33,0,0,0,57.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.93,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,32.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.43,0,0,6.78,0,0,0,0,0,0,0,0,0,0,3.25,0,6.4,0,0,3.53,19.52,2.19,0,0,0,0,0,2.58,0,1.67,0.85,0,0,2.56,0,0
 24-34,0,0,0,0,6.2,1.56,0,9.72,0,0,0,0,0,1.95,0,0,0.82,0,0,1.64,13.53,0,0,3.71,58.98,0.62,0,0,0,0,0.87,0,0,2.63,11.7,0,0,1.89,0,0
 36-46,0,0,0.94,0,6.29,0,0,7.53,0,1.22,0.62,6.01,0,5.11,5.64,0,0,0,0,16.92,50.98,0,2.35,17.33,124.25,49.47,0,0,0,0,13.52,0,0.95,0,25.67,0,0.62,5.55,0,18.86
 48-58,0,0,0,0,1.49,0,0,20.61,0.38,12.26,6.44,14.1,0,2.8,6.92,0,1.46,0.77,0.87,12.6,70.8,0,2.33,13.02,85.15,30.74,0,1.41,0,0,9.81,0,1.15,0,36.05,0,0,2.91,0,16.16
 60-70,0,0,0,0,4.42,0,0,6.79,0,6.44,1.39,8.48,0,0.92,0,0,1.29,0.79,0,3.33,53.68,0,1.31,5.86,12.12,46.25,0.71,0,0,2.07,3.47,0,0,0,1.89,0,1,2.71,0.61,18.13
 72-82,0,0,0.64,0,8.56,0,0,26.12,0,0,5.36,29.47,0.53,0.49,2.24,0,4.15,0.6,0.79,3.28,81.53,0,3.17,10.94,62.49,17.36,0,4.73,0,0.89,0,0,2.8,0,8.99,1.56,1.83,17.41,0,28.26
 84-94,0,0,0,0,2.44,0,1.06,7.96,0.67,0.95,1.31,4.24,1.39,0,1.11,2.84,2.79,0.69,0,1.45,37.84,0.84,1.97,2.69,14.46,15.95,0,0.84,0,0,0,0,0,0,3.66,0,4.45,3.3,3.26,0
 96-106,0,0,0,0,1.5,0,0,8.67,1.05,0,8.42,27.12,0,0,5.16,0,5.11,1.31,0,1.37,67.49,0,3.24,7.4,16.21,7.94,2.32,1.39,0,1.47,2.39,0,1.31,0,9.52,0,0,2.6,3.53,3.33
108-118,0,0,2.35,0,7.24,0.59,0,9.8,1.03,1.57,1.79,24.39,0.92,2.38,1.75,0,16.75,0.45,0.56,3.8,83.92,0,3.28,12.77,35.15,28.87,0,3.12,0,5.08,1.88,0,2.94,0,0,8.24,2.27,7.92,2.67,12.07
120,0,0,0,0,10.56,0,0,0,0,0,0,12.03,2.42,0,5.04,0,7.87,2.05,0,0,70.93,0,0,10.34,52.98,92.43,0,6.08,0,0,4.06,0,2.58,0,0,0,7.78,27.38,2.31,17.83
