stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,130.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0,0
  5-6,0,224.7,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,13.4,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,63.22,5.55,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.74,0,0,0,3.91,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,70.74,0,0,0,7.54,0,0,0,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.39,0,0,0,0,6.57,0,0,0,1.25,0,0,0,0,0
 24-34,0,0,0,0,0.68,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,4.34,0,0,1.4,0,5.35
 36-46,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,22.86,0,0,0,0,0,2.11,3.76,0,0,6.19,0,0,0,0,0
 48-58,0,0,0,0,1.87,0,0,8.39,0,0,0,0.79,0,0,0,0,0,0.39,0.56,29.82,0,3.88,0,26.89,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,11.33,0,1.41,0,1.82,0,0,0,0,0,0,0,67.4,0,3.23,0,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.16,18.32,0,0,0,7.66,0,0,0,1.14,2.51,0,0,311.62,0,9.39,1.89,78.31,1.13,0,0,0,0.71,1.75,0,1.5,0,0.92,0,0.52,0,0.58,0
 84-94,0,0,2.03,0,2.45,0.72,0,19.33,0,0,1.1,1.75,1.9,0,0,0.71,0,0,0.67,778.93,0,10.87,0,33.52,0,0,1.5,0,0,4.45,0,0,0,1.35,0,0,0.92,0,0
 96-106,0,0,0,0,6.97,34.61,2.28,76.41,0,0,2.67,13.53,4.9,0,0.73,1.7,2.02,0,0.66,1544.88,0,24.94,0,247.95,0.6,5.86,0.68,0,1.82,7.82,0.61,1.11,0,3.12,0,0.58,1.58,0,26.68
108-118,0,0,1.82,0,5.24,8,0,73.89,0.92,4.04,0,15.66,2.61,0,0,0,0,2.31,3.08,3083.51,2.1,33.94,1.28,216.13,1.76,1.05,1.87,0,1.82,13.82,0.88,0.47,0,12.3,1.31,0,8.09,0,4.48
120,0,0,3.64,0,1.58,1.72,0,28.78,0,1.05,0,0,0,0,0,0,0,0,0,1617.23,0,20.92,2.48,100.06,0,0,0,0,0,2.54,0,0,0,3.82,0,0,0,0,0
