stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,142.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.43,0,0,0,0,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01,9.1,0,0,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.47,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.64,32.87,0,0,63.02,0,0,0,0,8.3,0,0,0,0,0,0,0,0
 14-21,0,1.32,1.04,10.81,3.61,4.61,0,0,2.49,0.85,0,0,0,0,0,0,0,0,1.75,0,0,3.37,96.12,6.44,1.37,0,0.99,0,0,0.91,8.31,0,0,2.77,44.11,0,0,0.85,0,0
 24-34,0,0,0,6.2,0.81,14.56,0,0.99,3.7,0,0.67,0,0,0,0,0,0,0,7.59,0,0,2.07,395.31,0.59,2.97,0,0,0,1.44,0,0,2.06,0,0,81.91,0,0,5.17,0,0
 36-46,0,0.95,0,2.86,0,33.75,0,0.61,17,0,0,0,3,1.15,0,1.35,0,0,12.55,0,0,1.48,565.4,0,4.05,0,0,0,8.25,0,0,0.59,0,0.83,123.28,0,0,4.54,0,0.66
 48-58,0,0,0,3.06,0,112.41,0,0,35.53,0,0,0.63,0.42,10.98,0,0,5.01,0,9.8,0,0.71,0.56,497.94,0,0,0,0,0,3.21,0,0,0,0,0,144.71,0,0,0.57,0,0
 60-70,0,0.62,0,0,0,165.48,0,0.76,51.45,0.85,0,0,0,0,0,0.59,0,3.48,21.72,0,0,0.93,444.51,0,2.24,2.68,0,1.22,2.66,0,0,2.06,0,0,80.6,0,0,8.01,0,0
 72-82,0,0.76,0,4.33,0,191.8,0,0.64,29.39,0.99,0,0.6,0.54,2.25,0,1,0,1.81,25.28,0,0,0,389.4,0,1.74,0,0,0,0,0,0,0,0,0,30.09,1.21,1.33,3.59,1.73,13.13
 84-94,0,1.2,0,5.02,0,130.77,0,0.85,21.1,0.64,0,0,3,0.67,0.73,3.82,0,0,27.91,0,0,1.51,262.91,0,0,8.21,0,0,0,0,0,0.74,0,0,28.92,0,0,13.13,0,0
 96-106,0,0,0,1.67,0,107.68,0,0,26.68,0.75,0,0,3,1.49,0,0,0,0,8.48,0.76,5.65,0,224.54,0,0,1.12,0,0,3.62,0,0,0.61,3.94,0,11.64,0,0,0.75,0,0
108-118,0,0,0,0.99,0,119.82,0.45,0.43,20.68,1.06,0,0,2.54,0,1.9,1.8,0,0,6.32,0,0,0,191.95,0.52,1.49,0.94,0,0.89,0,0,0,0,0,0,12.21,0.42,1.66,17.01,0,0.92
120,0,0,0,0,0,148.71,0,0,14.42,8.11,0,0,3.6,0,0,0,1.85,0,35.92,0,0,0,333.19,0,0,0,0,0,1.12,0,0,0,0,0,5.23,0,0,0,0,0
