stage,epidermis,eye,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,periderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,6.93,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.6,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.81,0,1.84,0
 36-46,0,0.68,0,0,0,0,0,0,0,0.97,0,0,0
 48-58,0,0.53,0,0,0,0,1.4,0,0,1.59,0,0,0
 60-70,0,5.53,0,0,0,1.16,0,1.93,0,11.35,0,2.92,0
 72-82,0,0.55,0.97,0,0,0,0,0,0,1.33,0,0,0
 84-94,0,0,0,0,0.81,0,0,2.56,0.81,0,0,0,2.16
 96-106,0,0,0,0,0,0,0,0.93,0,0,0.56,1.69,0
108-118,0.49,0,0,1.59,1.14,0,0,0,0,8.9,0,0,0
120,0,0,0,0,22.08,0,0,0,0,5.3,1.03,0,0
