stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8.55,0.94,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.39,0,0,0,0,1,0,1.5,0,0,0,0
 24-34,0,46.1,2.53,1.52,2.47,0,0,0,38.06,0,0,0,0,2.46,0,0,1.2,12.89,2.56,0,0,0,29.76,0,4.17,0,0,9.27,0
 36-46,0,30.94,0,0,13.76,0,0,0.63,37.7,0,0,0,3.1,4.9,1.37,0,0.63,20.1,7.84,0,0,0,79.22,0,2.92,0,0,0.6,0
 48-58,0,45.03,0,3.17,4.82,0,0.98,0,53.34,1.82,0.42,0,0,4.77,0,0,3.11,18.85,0,0,0,0,70.15,0,6.15,0,0,4.26,0
 60-70,0,21.02,0,3,8.63,1.63,0,0,65.12,0,0,0,0,8.07,0,0.93,0,10.67,1.19,0,0,2.4,122.85,0,0,0,0,3.5,0
 72-82,0,14.82,1.59,4.2,4.54,0,0,0,74.12,0.52,0,0,0,5.94,0,0,0.93,49.08,0,0.9,0,6.42,67.99,0.73,0,0,0.91,9.67,0
 84-94,0,42.95,1.24,8.79,15.11,0,0,0,104.75,0.6,0,0,0,3.44,2.38,0,3.79,25.81,0,0,0,0,213.08,0,0,0,0,6.92,0
 96-106,0,29.37,3.32,7.63,2.66,0,1.32,0,112.72,0,0,0.63,0,7.68,0,0.67,0,20.27,0.81,0,0,4.1,140.98,0,0,1.89,0,8.05,0
108-118,0,29.59,0,3.1,16.43,0,1.56,0,115.19,1.11,0,0,0,1.85,1.03,0,0,3.65,0,0,0,4.82,138.21,0,0,0,0,7.47,0.92
120,0,59.45,4.9,5.41,12.47,0,3.65,0,186.45,0,0,0,0,18.73,1.12,0,1.9,16.72,0,0,0,15.95,163.28,0,0,0,0,9.91,0
