stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,0,0,0,0,0,0,0,0,0
 10-12,0,12.82,0,0,0,0,0,0,0,0,0,0,0,29.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.41,0,0,0,0,0.92,0,0,1.3,0,4.73,6.67,0,0,0,0,0.99,1.06,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.72,0,0,8.57,0,0.6,0,3.11,0,0,0,0,2.14
 36-46,0,0,0,1.73,0,0,0.96,0,0,0,0,0,0,9.16,2.72,0,0,0,0,1.76,0,0,0
 48-58,0,0,0,0,0.85,0,0,0,0,0,0.9,0,0,4.41,0,0,0,1.19,0,2.05,0,0,0
 60-70,0,0,0,0,0,6.36,0,0,1,0,0,0,0.8,3.79,0,0,0,0,0,0,0,0,4.22
 72-82,0,0,0.72,15.66,0,0,0.82,0,0,0,0.6,0,0.98,5.53,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.31,0,4.22,2.11,0,0,0,0,0,0,0,0.86,0,0,0,1.05,0
 96-106,0,0,0,0,0,0,0,0,5.16,0,2.31,0,0,1.77,0,0,0,3.02,0,2.21,0,0,0
108-118,0,0,0,0,0.65,0,0,0,2.53,0.6,1.53,0.51,1.85,15.23,0,0,0.66,5,0,0,2.48,0,0
120,0,0,0,1.06,0,0,12.08,2.95,0,0,0,0,0,27.97,0,0,0,0,0,0,0,0,0
