stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.06,699.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.39,0,0,0,0,0,0,0,0,0,0
  5-6,31.89,375.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.1,15.11,9.74,0,0,0,40.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.11,0,0,0,72.81,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.92,0,0,0,8.75,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,293.95,10.85,0,0,158.07,0,0,5.95,0,10.78,0,0,0,0,0,0,0
 14-21,0,0,0,5.94,4.64,0,2.78,0,0,0,0.97,2.48,0,1.46,0,1.28,0,0,1.41,0,7.41,0,0,2.6,136.33,0,0,0,3.35,0,0,1.23,12.09,2.42,0,10.97,30.98,0,2.17,0,0
 24-34,0,0,0,4.95,1.42,0,21.41,0,0,0.63,7.07,0,0,3.68,0,1.31,0,0,0,0.95,7.12,0,0,9.34,207.9,0.86,1.36,4.59,0,0,2.24,0,0,0,0,4.42,44.38,0,11.8,0,11.11
 36-46,0,0,0,0.63,0,0,23.29,0,0,0,7.39,0,0,0.99,0,0,4.15,0,0,4.34,4.1,0,0,5.49,103.25,0,1.22,0,0,0,8.93,0,0,0,0,0,12.65,0,1.91,0,4.15
 48-58,0,0,0,1.01,0,0,59.54,0,0,1.5,9.82,0,0,0,5.66,0,0,0.5,0,0.7,17.26,0,0.77,3,78.26,0.45,1.57,0.39,0,0,0,0,0,0,0,0,16.49,0,1.82,0,11.99
 60-70,0,0,0,0,0.57,0,50.74,0,0,0,24.51,0,0,0,1.47,1.53,0,0,0,5.46,16.5,0,1.12,4.11,82.8,0,9.66,0,0,0,11.48,0,0,0,0,0,4.78,0,0,0,7.72
 72-82,0,0,0,2.89,0.84,0,45.5,0.92,0,0,12.78,0,0,0.66,0,0.66,0.83,1.49,0,0,28.45,0,0,2.47,50.55,0.89,2.6,0.56,0,0,2.43,0,0,0,0,0,13.37,5.01,1.84,0,0
 84-94,0,0,0,5.44,1.46,1.06,42.88,0,0,0,9.71,3.9,0,0,4.2,1.2,6.76,0,0,0.58,14.83,3.28,0,5.13,29.97,0,0,0,0,0,14.4,0,0,0.56,0,0,14.4,0,6.71,0,6.82
 96-106,0,0,0,2.37,2.82,0,33.94,0.93,1.4,2.53,24.08,2.79,0,0.79,4.44,1.67,0,2.29,0,0,21.41,0,1.02,2.56,43.58,0,0,0,0,1.47,21.31,0,0,0,0,0,0,7.02,5.72,1.13,0.73
108-118,0,0,0,6.76,4.58,0.64,23.35,0,1.11,0,13.7,0.48,0,0,4.31,0.72,1.52,1.39,0,1.12,16.27,0,0,4.02,45.93,2.41,7.65,2.06,0,0,5.23,0,0,0,0.69,0,5.73,0,0,0.68,8.65
120,0,0,1.28,12.42,11.27,0,20.89,0,1.41,0,13.79,8.61,0,0,7.27,0,0,0,0,0,32.7,1.12,0,2.14,41.44,0,5.76,0,0,0,9.69,0,0,0,0,0,0,0,8.12,0,0
