stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,3.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,60.94,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.37,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,6.51,191.94,23.43,0,0,0,0,0,0,1.09,4.58,0,0,0,0,0,0,166.52,0,1.39,0,0,0,4.62,2.08,0,0.83,0,0,0,0.9,0,3.28,0,0,0,0,0
 24-34,0,0,8.34,314.27,1.41,10.41,0,2.88,0,0,0,0,24.32,0,3.51,0,0,0,0,315.67,0,0.64,0,0,0.99,28.5,5.37,0,0,0,0,0,0,0,8.55,0,0,1.4,0,0
 36-46,0,0,2.66,25.48,0.64,14.46,0,2.27,0,0,0,0,40.52,0,3.72,0,0.77,0,0,248.75,0,4.74,0,0.83,1.9,44.58,0.66,2.27,0,0,0,0.72,0,0,7.57,0,0,0,0,0
 48-58,0,0,1.02,13.44,2.03,3.52,0,2.54,0,0,1.24,1.78,28.2,0,3.19,0,0,0,0,205.12,0,11.64,0,0,0.65,51.58,0,0,0,0,0,0,0,0,6.15,0,0,4.93,0,0
 60-70,3.99,0,1.74,0,6.27,4.84,61.51,12.6,3.1,0,0.84,0,16.25,0,1.03,0,0,0,0,370.13,0,3.56,0,0,0,86.94,0,1.27,1.97,0,1.53,0,0,0,3.38,0,0,3.68,0,0
 72-82,0,0,0.76,0,0.83,10.19,547.66,49.74,0,0,1.62,15.94,12.23,0,0.51,0,1.32,0,0.79,780.07,0,18.62,0,2.24,1.63,217.36,0,0,4.66,0,0,5.35,0,0,10.49,0.94,0.88,2.58,0,1.88
 84-94,0,0,2.33,0,2.01,9.19,1156.63,37.66,0,0,1.89,7.26,4.96,0,3.32,8.55,0,0,0.67,2389.38,0,18.99,0,0,5.85,305.12,0.9,9.71,1.34,0,7.6,16.26,0,0,7.27,4.87,0,0,0,9.49
 96-106,0,0,2.84,0,18.59,60.88,2191.04,108.66,0.95,11.09,10.31,24,10.34,0,0,3.44,1.12,2.05,0.77,2835.87,0,91.28,3.53,0,13.81,522.88,1.3,2.77,8.71,0,0,30.37,0.7,0,6.76,0.82,0,7.27,6.92,2.39
108-118,0,0,5.4,0,24.88,16.25,4271.4,145.77,0.98,3.07,0,42.64,11.37,0,1.35,3.68,0.47,1.79,4.64,4467.15,3.49,82.86,1.82,1.88,21.57,534.44,1.05,5.7,0.48,0,2.46,23.04,0,0.88,0.78,0.74,0,10.08,0,7.98
120,0,0,6.75,1.66,18.35,20.13,1676.09,67.22,0,1.49,6.21,63.01,1.88,0,0,4.83,1.94,1.62,0,2483.05,0,72.54,0,24.37,1.51,616.52,0,1.29,1.05,0,0,10.75,0,0,9.58,0,0,3.55,0,19.73
