stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.95,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27.37,2.98,0,4.08,0,0,0,0,0,3.14,0,0,0,0,0,0,46.28,0,0,56.98,9.78,3.7,0,0,1.51,0,0,0,5.48,33.01,8.31,0,0,0,0.9,0,0
 24-34,0,0,0.7,17.94,0,0,12.44,104.68,0.8,0,0,0,3.2,0,0,0,0,0,0,136.34,0,0.69,109.97,40.62,5.02,0,0.73,0,3.82,8.57,0,0,23.48,14.45,2.37,0,0,6.24,0,5.67
 36-46,0,0,0,16.48,0,0,46.4,479.7,0,1.34,0.63,0,1.84,0,0,0,0,1.56,0,132.68,0,1.85,40.62,63.57,3.14,0,0.66,0,0,4.87,0,0,0.94,0,14.03,0,0,10.83,0,0
 48-58,0,0,0,8.17,0,0,108.88,608.4,0,3.56,12.96,0,0.4,0,0,0,0,0,6.21,99.62,0.52,4.39,31.62,204.67,0,0.48,1.91,0,0,8.88,0,0,1.5,0,25.2,0,0,1.81,0,5.92
 60-70,0,0,0,14.69,0,0,76.98,398.26,0,2.48,20.15,0,0,0,0,0,0,0,0,52.34,0,5.31,33.59,123.76,0,0,2.87,5.14,0,3.24,0,0,0,0,19.48,0,0,0,0,12.81
 72-82,0,0,0,8.51,1.4,0,59.35,343.44,0,2.34,9.59,0.99,0,0,0,0,0,3.06,0,23.93,0.56,4.52,44.05,68.63,0,1.69,1.78,0,0,8.27,0,0,6.94,0,7.56,0,0,0.82,0,5.79
 84-94,0,1.19,0,0,7.33,0,64.79,556.11,0.56,0.83,5.41,0,0,0,0,4.69,0.67,0,0,35.49,2.96,0.98,27.88,91.46,2.83,0,1.1,0,0,5.76,0,0,0.77,0,12.42,3.2,0,4.01,3.64,0
 96-106,0,0,0,2.51,19.22,6.8,88.68,747.57,1.16,0,12.26,3.07,1,2.06,2.56,4.43,0,0,0,39.41,0,2.8,35.55,123.2,0.77,1.7,6.18,0,3.21,8.01,0,0,3.53,0,0,0,2.14,4.87,8.83,0
108-118,0,0,0,9.2,4.34,0,90.45,607.46,3.5,0,20.48,1.51,2.64,2.02,2.41,0.53,0,8.86,0.83,31.4,0,3.82,61.54,129.66,0.47,1.21,5.78,0,1.37,10.53,0,0,4.35,0,4.93,1.13,4.91,3.68,0,0
120,0,0,0,4.93,9.39,0,67.08,381.65,0,0,27.01,0,0,2.22,1.48,0,0,0,0,1.52,0,0,23.89,61.5,0,0,0,0,0,6.06,0,0,8.25,0,0,0,5.64,6.63,0,9.68
