stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,6.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.5,0,16.01,0,0,0,0,0,0,0,0,0,0,0,0,61.19,5.62,0,0,19.89,0,0,0,0,0,0,0,0,0
 14-21,0,3.31,0,3.39,0,0,23.45,2.98,0,0,0,0,0,0,0,0,0,8.34,0,1.51,3.48,0,0,0,1.27,20.26,0,100.86,0,0,0
 24-34,0,0,0,0.6,2.13,0,20.09,0,0,0,0,0,0,0,0,0,0,16.58,0,22.04,1.38,0,0,0,0,16.19,2.32,68.37,0,0,0
 36-46,0,0,0,0,1.24,0,21.57,0,0,0,0,0,0,1.8,0,0,0,49.03,0,19.31,0,0,0,1.02,0,8.19,0,46.52,0,0,0
 48-58,0,0,0,2.36,7.84,0,20.54,0,0,0,0,0,0,14.95,0.41,0,0.72,45.01,0.51,13.18,1.78,0,0,0,0,7.3,0,60.2,0,0,0
 60-70,0,0,0,0,0.85,0.84,24.02,0,0,0,0,0,0,2.09,0,0,0,19.33,0,13.4,2.52,0,0,0,0,0,0,17.83,0,0,0
 72-82,0,0.61,0,0,19.74,0,24.09,0,0,0,0,2.19,0,7.36,0,0,0,63.62,0,7.83,2.04,0,0,0,0,0,0,37.55,0,0,2.54
 84-94,0,0,0,0,21.44,0,3.14,0,0,0,0,0.59,0,3.67,0,0,0,31.97,2.58,4.7,7.07,0,0,0,1.4,3.9,0,10.06,0,2.06,0
 96-106,0,0,0,0,3.6,0,31.29,0,0.65,0.84,0,10.15,2.1,5.27,0,0.93,0,22.24,1.64,7.46,9.88,0,0,0,0,0,0,18.53,0,0,0
108-118,0,0,0,4.28,4.54,0,23.43,1.27,0,0,0.7,2.08,0,3.34,0,0,0,33.16,0,12.73,9.87,0,1.76,2.72,0,0.46,0,7.89,0,0,0
120,0,0,0,2.12,0,0,0,0,0,4.49,0,1.08,0,15.24,0,0,0,67.69,0,15.47,32.77,0,0,0,0,4.05,0,14.06,11.16,0,0
