stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1068.8,16058.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.37,0,0,0,0,0,0,0,0,0,0
  5-6,1091.2,17086.42,0,13.2,0,0,0,0,0,0,0,0,26.85,0,0,0,0,0,0,0,0,0,0,0,535.07,66,0,0,182.82,0,261.45,0,0,0,0,0,0,0,0,0,0
  7-9,168.68,112.12,0,235.13,0,0,432.66,0,0,0,0,0,117.28,0,0,0,0,0,0,0,0,0,0,0,4232.83,126.82,0,0,1356.3,0,3.63,59.09,0,0,0,0,0,0,0,0,0
 10-12,0,43.15,0,87.32,0,8.32,129.58,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,1389.22,59.85,0,0,301.8,0,0,38.01,0,15.97,0,0,0,0,0,0,0
 14-21,0,0,0,36.95,468.56,57.62,80.1,0,0,0,8.05,19.42,0,1.66,0,108.02,0,0,0,0.86,131.09,0,0,77.33,724.15,26.72,0,8.39,14.63,0,0,18.57,35.99,3.68,0,58.17,223.21,0,25.61,0,2.78
 24-34,0,0,0.75,17.38,192.96,6.78,80.23,0,1.33,1.53,7.66,22.01,0,7.48,0.64,0,1.71,3.04,2.51,5.4,189.39,1.89,1.79,83.44,694.06,11.68,1.38,3.32,0,1.14,0.88,1.06,2.22,1.32,0,10.11,245.86,0,100.61,0,2.42
 36-46,0,0,0,0.56,69.99,0,38.92,0,0.57,4.89,8.97,1.25,0,15.12,0,0,16.75,1.26,1.98,0.99,134.85,0,3.47,38.79,318.04,6.82,0,1.56,5.14,0.77,1.14,2.27,0.9,1.28,0,0,119.87,0,63.6,0,11.93
 48-58,0,0,0,0,13.82,0,42.74,0.88,4.13,6.84,21.09,2.49,0,12.51,1.02,0,2.45,1.59,1.02,0,176.24,0.38,1.9,39.4,96.4,7.75,0,2.19,0,0,0,0.56,0,3.18,0,0,28.12,0,38.12,0,3.07
 60-70,0,0,0,0.85,7.93,0,86.28,0,0.87,23.72,53.91,1.45,0,6.58,2.57,0,0,0,0,0,287.34,0,1.46,21.64,91.17,1.01,0,0.72,0,1.55,0,0,0,1.06,1.01,0,13.61,4.73,57.32,4.95,1.67
 72-82,0,0,0.95,0,8.89,1.23,162.67,0,4.96,36.71,125.21,1.1,0,9.76,0,0,2.9,0,0,3.5,479.87,0,11.51,42.07,66.14,4.48,1.66,1.85,0,7.73,0.55,0.85,4.38,0,0,0,8.49,10.85,98.42,11.5,9.91
 84-94,0,0,0,2,20.64,0,190.46,0,13.57,16.09,114.47,0.62,0,27.84,2.34,0.61,2.05,0,0,1.81,388.54,0,18.27,60.08,56.74,5.17,0,14.1,0,6.93,0,0,0,13.72,0,0,26.52,6.53,88.39,11.15,0
 96-106,0,0,0,0,32.6,3.55,285.72,0,14.83,22.38,215.56,0,0,19.01,1.3,5.7,3.42,1.89,9.55,0,682.34,0,14.9,49.57,92.95,3.75,3.35,5.58,0,42.34,7.5,0,0,1.33,0,0,26.8,6.08,183.49,16.24,0.91
108-118,0,0,0,0.45,40.71,0,322.93,0,13.84,29.37,303.48,1.78,0,6.43,0.44,2.69,6.87,0,3.55,1.24,820.28,0,11.8,54.99,144.2,6.64,1.57,1.52,0,62.03,0.72,1.06,0,10.6,0,0,16.23,10.74,158.31,39.16,13.27
120,0,0,0,0,40.8,4.25,130.47,0,22.12,18.84,465.79,6.22,0,14.49,1.01,1.29,4.42,2.6,10.75,0,777.19,3.34,1.38,65.54,80.47,9.66,0,5.5,10.96,74.89,2.18,0,0,0,0,0,12.25,19.29,213.69,46.25,0
