stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,832.55,15368.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.04,0,0,0,0,0,0,0,0,0
  5-6,1269.26,21453.94,34.76,0,0,0,0,0,0,0,48.87,0,0,0,0,0,0,0,0,0,0,0,500.26,89.8,0,0,186.45,372.12,0,0,0,0,0,0,0,0,0
  7-9,278.89,640.75,684.02,0,6.96,1382.25,0,0,0,0,413.43,0,0,0,0,0,0,0,0,0,0,0,14351.09,378.22,0,0,4771.12,0,33.49,0,0,0,0,0,0,0,0
 10-12,0,595.65,572.01,0,35.78,1013.15,0,0,0,0,81.45,0,0,0,0,0,0,0,0,0,0,0,10591.78,138.12,0,0,3647.91,0,5.33,23.25,406.12,0,0,33.59,0,0,0
 14-21,0,0,27.92,448.57,312.77,293.28,0,0,54.83,7.28,2.5,0.81,0,4.61,0,0,1.41,0,207.45,0,0,146.31,5004.74,62.19,7.22,47.61,268.3,3.44,1.84,540.27,53.85,7.02,304.2,1490.11,0,25.17,0.84
 24-34,0,0,6.26,38.93,39.27,397.54,0,0,45.16,0,1.4,6.22,3.12,6.89,0.83,7,1.45,2.7,110.98,1.39,0,43.05,1906.83,2.04,16.09,14.13,0,8.42,0,0,4.88,1.01,36.92,424.62,0,125.8,8.28
 36-46,0,0,0,18.04,1.6,98.77,1.04,2.42,6.21,0,0,1.51,0,0.58,0,0.57,0,0,36.47,0.56,0,7.95,337.02,0,0,9.74,0,3.85,0,1.05,0,0,0,41.02,0,21.13,4.86
 48-58,0,0,0,11.65,0,118.13,1.12,0,6.08,3.23,0,0,0,0.76,5.18,3.55,0,0,27.03,3.55,2.61,10.52,108.11,0,4.06,1.17,0,0,0,0,0.45,0,0,10.67,0,11.74,2.38
 60-70,0,0,0,10.33,0,28.26,4.93,1.9,6,1.6,0,0,0,0,0,0,0,0,13.13,0,0,1.91,28.37,0,1.19,0,0,1.81,0,0,0,0,0,0.77,0,3.55,0
 72-82,0,0,0,2.59,0,1.65,0,0,0.53,0.92,0,0,0,1.19,7.42,0,0,0,7.75,0,1.08,0.7,10.86,0,1.65,0.7,0,0.5,0,0,0,0,0,0,0,8.56,0
 84-94,0,0,0,2.23,0,6.22,0,1.46,1.97,0,0,0,0,0.72,0,0.78,0,0,8.74,0,0,3.41,9.32,0,1.53,1.3,0,0.68,0,0,0,0,0,0,0,2.72,0
 96-106,0,0,0,5.62,0,4.77,0.58,0,1.68,0,0,0.89,0,0.98,0,0,1.99,0,13.58,0,0,1.72,5.93,0,1.59,0,0,3.13,0.64,0,0,0,0,0.84,0,2.41,0
108-118,0,0,0,0.45,0,1.74,0.95,0,2.47,0,0,0,0,0,0,0,1.42,0,1.96,0,2.1,1.93,10.2,0,1.58,0,0,2.32,1.58,0,0,0,0,2.28,0.69,1.96,5.25
120,0,0,0,0,0,1.79,0,0,0,1.14,0,0,0,0,3.7,0,0,0,6.46,0,0,0,10.47,0,0,0,0,0,4.6,0,0,0,0,0,0,5.06,0
