stage,epidermis,eye,fin.epithelia,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,somites,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,14.65,0,0,0,0
 14-21,1.48,0,0,0,0,0,0,0,0,0,0,0.92,0,0
 24-34,2.35,0,0,0,0,0,0,0,0,3.45,0,0,0,0
 36-46,3.09,0,0,0,0,0,1.5,0,0,6.47,0,0,0,0
 48-58,1.06,0,0,0,0,0,0.66,0,0.46,1.35,0,0,0,0
 60-70,0.77,1.81,0.99,0,0,3.27,0.59,0.73,0,2.03,0,0,0,0
 72-82,0.55,0,0,0,0.91,0,0.85,0,0,3.91,0,0,0.6,0
 84-94,8.06,0,0.83,0.76,1.82,0,0,0,0,2.52,0,0,1.8,4.52
 96-106,1.55,0,0,0,7.2,0,2.25,0,0,2.8,0,0,0,0
108-118,2.17,0,1.7,0,8.24,0.82,0.48,0,0,0,0.8,0,0.47,0
120,2.59,0,7.12,0,6.85,0,7.19,0,0,0,0,0,0,0
