stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,xanthophores
  5-6,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.77,0,5.89,0,0,3.72,0,0,0,16.67,9.3,0,0,3.81,0,0,0,0,0
 14-21,0,0,0,10.25,0,0,0,0,0,1.11,20.23,0.86,0,0,0,0,0,0,7.53,0
 24-34,0,0,1.91,0,0,0,0,0,3.01,1.09,74.08,0,0.78,0.88,0,0,0,0,49.96,0
 36-46,0,0,0,0,0,1.3,0,0,2,1.13,31.64,0,4.53,0,0,0,0,0,16.97,0
 48-58,0,0,0,1.69,0,0,0,0,1.12,0,43.06,0,0,1.22,0,0.45,0,0,12.62,0
 60-70,0,0,0,1.4,3.17,0,0,0,1.65,0,27.01,0,0,0,0,0,0,0,0.79,0
 72-82,0,0,0,10.7,0,1.68,0,0,4.46,0,35.91,0,0,0.5,0,0,0,0,3.61,7.42
 84-94,0,0,0,5.52,0,0,0,0,0,0,45.1,0,0,1.09,0,0,0,0,1.84,0
 96-106,0,0,0,4.59,0,5.05,0,0,2.62,0,44.67,0,0,0,0,0,3.89,0,0,0
108-118,0,0,0,1.03,0,0,0,0.74,1.96,0,17.87,0,0,0,0,0,0,0,0,0
120,0,0,0,11.16,0,5.28,0,0,1.51,0,12.01,0,0,0,0,0,0,1.63,0,0
