stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,5.33,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,20.86,2.18,0,2.36,0,0.88,0.84,0.88,0,11.5,0,0,0,0,0
 24-34,0,0.6,1.34,0,1.16,0,0,0.61,0,0,0,0,0,0,2.3,0,0,2.33,28.49,2.47,1.22,0,0,0,0,0.65,1.23,11.95,0,0,1.61,0,0
 36-46,0,0,0,3.14,5.35,0,0,16.79,0.56,0,0,0.57,0,0,4.22,0,0,0.61,65.55,3.08,0,0,4.27,0,0,0,0,24.04,0,0,0,0,1.04
 48-58,0,0,2.1,0,18.64,0.54,0,4.42,0,2.4,1.01,0,0,0.46,4.03,0,0,0.43,71.24,0,0,0,0.38,0,0,0,0,6.92,0,0,6.77,0,0
 60-70,0,0,3.01,0,78.6,3,0,15.65,0,0,0,0,0,0,7.02,0,1.53,1.44,94.72,0,2.02,0,1.32,0,0,0,0,16.21,0.77,0.71,0.87,0,11.22
 72-82,1.32,0,0,0,70.29,0,0,7.15,1.78,0,0,0,0.54,0,23.08,0,1.07,0.78,111.81,0,1.43,2.04,0.67,0,0.64,0,0,1.42,0.97,1.49,0.64,3.94,0
 84-94,0.66,0,0,0.74,45.36,0.6,0.58,8.09,1.39,0,0,0,0,0,20.49,0,0,2.13,71.85,5.65,0,0.65,0,0,0,0,0,5.87,0,1.05,0,0,0
 96-106,0.9,0,4.13,1.65,40.33,1.33,0,18.15,0,0,0,1.05,1.17,0,13.77,0,1.7,0,22.21,0,2.11,0.57,0,0,0,0,0,2.34,0,0,0,0,2.99
108-118,0,0,1.8,1.64,28,1.44,0.49,13.18,0,0,0,1.36,0,0.85,18.03,0,0,0,68.52,0,0,0.43,0,0,1.37,0,0,4.26,0,0,0.78,1.61,0
120,0,0,0,0,9.8,0,2.45,25.35,0,0,0,0,2.02,0,0,16.56,0,11.63,112.45,0,0,0,1.37,0,0,0,0,0,0,0,1.35,0,0
