stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0
  5-6,60.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.92,0,1.23,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.78,0,0.68,6.59,0,0.95,0,0,0,3.29,0,0,0,0
 36-46,0,0,1.45,0,0,0,0,0,0,0,2.58,0.63,0,13.01,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,2.17,0.6,0,0.48,0,0,0,0,0,6.63,0,0,2,0,0,0,0.47,0,0.88,0,2.7,0,0
 60-70,0,0,2.26,0,1.12,0,0,0,0,0,9.25,0,0,0,0.68,0,0,0,0,0,0,1.49,0,3.62
 72-82,0,1.56,0.9,0.51,1.89,0,0,0,0,0,6.16,1.01,0,1.59,0,0,1.53,0,0,0,0,1.33,0,0
 84-94,0,2.96,0.62,0,2.02,0,0,0,0,0.57,8.59,0,1.09,0,0,0,0,0.57,0,0,0,4.22,0,0
 96-106,0,3.73,8.34,0,0,1.62,0,0,0,1.25,6.83,1.62,0,0,0,0,0,0,0,0,0,4.09,0.87,8.59
108-118,0,0,2.01,0,3.29,0,0.46,1.7,0.49,1.69,9.49,0,0,0,0,0,0,0,0,0,1.47,1.14,0,0
120,0,0,5.26,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0
