stage,axial,blastomeres,epidermis,eye,gut,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,vasculature
  3-4,17.84,129.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.23,37.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.62,0,0,0,0,0,0,41.77,0,8.14,0,0
 10-12,0,0,0,0,0,0,0,0,34.07,0,9.18,0,0
 24-34,0,0,0,0,0,0,0,0.69,1.76,0,0,0,0.91
 36-46,0,0,11.26,0,2.26,0,1.59,0,13.14,0,0,0,0
 48-58,0,0,0,0.83,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.07,2.6,1.15,0,12.27,0,0,0,0
 96-106,0,0,0,2.29,0,0,1.28,0,0,0,0,0,0
108-118,0,0,1.59,0,0,0,0,0,0,0.51,0,3.45,0
120,0,0,0,0,0,0,5.08,0,0,0,0,0,0
