stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,266.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.08,458.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,38.06,0,0,0,0,411.25,0,0,0,0,0,10.19,0,0,0,0,0,0,0,0,0,1256.34,0,0,0,143.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.32,0,7.37,0,0,129.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.62,0,0,0,59.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.08,17.13,0.82,5.49,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,3.72,107.74,0,0.95,0,0.88,0,1.07,0,0,1.25,27.45,0,0,0,0,0
 24-34,0,0,6.49,0,5.89,0,6.21,0,0,0,1.27,0,0,0.68,0,0,0,0.6,4.81,0,0,2.04,472.6,0,80.53,0,0,0,7.87,0,0,0,92.19,0,0,0,0,0
 36-46,0,0,8.46,0,2.11,0,27.81,0,0,0,12.36,0,0,0,0,0,0,0,2.66,0,0.63,0.81,1120.68,0,92.39,0,0,0,0.63,0,0,0,190.6,0,0,0,0,0
 48-58,0,0,6.49,0,3.85,0,228.96,0,0,0.62,17.82,0,0,0,0,0,0,0,9.93,0,0,0,1907.89,0.46,79.24,0,0,0,0,0,0.57,0,223.43,0,0,0.5,0,3.08
 60-70,0,0,1.84,0,2.2,0,966.66,0,5.56,0,33.9,1.23,0,0,0.79,0,0,0,30.53,0,0,1.49,2786.3,1,100.68,0,0,0,1.18,0,0,0,276.57,0,0,0,0,0
 72-82,0,0,9.76,0,9.88,1.54,1265.58,0,1.16,3.99,70.1,4.15,0.52,0.58,0,0.66,0.84,0,38.07,0,0,2.88,2371.33,0,118.2,0.53,0,1.4,2.02,0,0,0,207.45,4.41,0,0.51,0,1.14
 84-94,0,0,12.1,0,10.48,2.08,1078.39,0.69,4.74,0,58.22,0.96,0,0,3.49,4.17,0,0,27.47,0,3.72,1.48,1766.32,0,103.09,7.38,0,0,5.76,2.8,0,0,132.53,0,0.74,0.97,0,0
 96-106,0,0,12.34,0,10.51,13.59,955.66,0,1,0,70.46,3.39,0,0,1.47,1.02,0,0.61,23.81,0,0,3.5,1308.12,1.13,161.69,1.08,0,0,5.57,0,0.58,0,58.23,1.78,1.94,1.51,0,5.22
108-118,0,0,14.51,0,15.79,0,907.44,0,0.5,0.64,57.33,5.22,0,0,0.76,0,0,1.42,20.6,0,0,1.23,1624.67,0,132.7,0,0,0,6.28,0,0.94,0,58.51,1.02,0.9,7.51,3.34,5.46
120,2.82,0,28.59,0,9.9,0,1183.74,0,12.48,5.01,131.88,8.41,0,0,0,0,0,4.13,52.73,1.65,0,12.02,3182.86,0,208.99,0,0,0,9.93,0,3.41,0,122.42,1.63,0,10.87,23.8,0
