stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,309.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.74,0,0,0,0,0,0,0,0,0,0
  5-6,0,423.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.32,0,7.09,0,0,48.3,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,205.96,3.21,0,0,101.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,24.2,0,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.83,17.27,0,0,82.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,19.12,8.78,5.11,0,0,4.34,1.46,0,1.3,0,0,0,0,0,0,9.99,0,0,9.02,122.58,0,1.13,2.17,0.82,0,0,5.07,0.85,2.04,15.11,34.92,0,0,1.76,0,0
 24-34,0,0,0.75,0.59,3.86,0,16.22,0,0,8.39,0,0,0,0,0,0,0.65,0,0,21.85,0,0,12.12,323.45,0.99,3.53,1.37,0,0,0,0,0,0,3.89,65.92,0,0,14.72,0,0
 36-46,0,0,0,0,1.64,0.58,57.02,0,0.82,9.82,0.56,0,0,0,1.59,0,0,0,0,32.41,0.56,0.72,3.64,387.73,1.13,3.18,1.01,0,0,12.75,0,0,0,0,91.32,0,0,4.22,0,0
 48-58,0,0,0,0,1.79,2.03,92.38,0,0.42,26.86,0,0,0.88,0,0,0.39,0,0,0,31.74,0,0.38,6.43,374.22,0,1.64,1.26,0,0.61,4.8,0,0,0,0,61.95,0,0,0,0,3.29
 60-70,0,0,0,0,5.61,0,190.97,0,0,14.08,0,0,0,0,0,0,0.73,0,0,35.73,0,1.64,6.57,279.04,0,5.61,5.64,0,0,4.21,0,0,0,0,30.5,0,0,1.68,0,1.79
 72-82,0,0,0,0,8.05,1.96,82.96,0,0.58,11.53,0,0,0,1.23,0,0,0,0,3.31,48.65,0.52,4.58,4.59,151.33,0,1.68,1.61,0,0,1.5,0,0,0,0,32.24,1.36,0.66,1.54,1.31,9.8
 84-94,0,0,0,0,2.53,0,65.72,0,2.73,4.91,0,2.34,0,1.71,0.56,0,0.73,0,0,39.18,0,0.76,5.93,144.63,0.69,1.53,0,0,6.05,5.29,0,1.17,0,0,10.01,0,1.13,4.31,0,0
 96-106,0,0,0,0,4.93,4.14,65.39,0,3.19,9.53,1.41,0,0,2.14,0,0,0,5.9,0,27.92,0.78,6.54,2.43,112.15,0,0,1.62,0,1.32,7.04,0,0,0,0,11.87,1.13,1.01,3.5,1.03,0
108-118,0,0,0,0,5.61,0,72.76,1.9,0.58,7.09,1.29,0,0,3.66,0.43,0,0,0,0,45.31,0,0.46,6.05,119.46,0.5,6.31,6.42,0,0,5.79,0,0,0,0,5.14,0,0,5.08,1.17,2.32
120,0,0,0,0,3.92,1.28,40.77,0,10.08,3.06,0,0,0,0,0,0,4.16,1.67,0,56.98,0,0,9.49,93.26,7.66,7.65,0,0,0,3.79,0,3.15,0,0,0,0,0,0,1.59,0
