stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,299.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,840.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,58.37,63.65,184.35,0,0,0,213.15,0,0,0,0,0,88.86,0,0,0,0,0,0,0,0,0,0,0,1695.24,126.53,0,0,646.62,0,18.75,8.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,70.28,235.49,0,23.3,0,158.97,0,0,0,0,0,51.82,0,0,0,0,0,0,0,0,0,0,0,2138.37,82.33,0,0,526.82,0,7.62,0,13.68,73.91,0,26.79,9.29,0,0,0,0,0
 14-21,0,0,1.07,199.02,9.11,0,10.82,0,0,0,3.75,6.76,0,1.34,0,0.87,0,0,0,0,53.01,0.86,0,50.07,154.84,66.97,0,0,7.49,0,41.75,0,30.41,7.82,56.17,52.72,63.6,0,0,8.72,0,0.85
 24-34,0,0,4.46,174.1,0,0,54.27,0.72,10.07,2.32,11.59,0.66,0,6.93,1.54,0,0,0.62,3.98,13.31,197.61,6.61,0,93.31,508.63,32.99,0.62,3.93,0,0,195.02,0,0,1.58,13.13,32.42,152.95,0,0,109.03,0,4.31
 36-46,0,0,0,84.69,0.76,0,26.61,3.63,28.52,3.45,50.31,4.79,0,10.86,0,9.05,0.57,0.67,7.64,18.47,247.46,0.78,3.92,66.13,276.2,14.9,0,3.92,0,0,240.2,0,0,1.72,9.99,2.84,122.95,0,0.85,73.83,0,18.66
 48-58,0,0,0,58.86,0.41,0,48.25,9.34,15.08,13.63,55.25,0,0,7.17,1.03,0.38,4.71,0.5,1.04,9.95,239.99,1.02,5.74,43.38,166.57,16.52,0,3.56,0,1.09,136.7,0,0,1.7,14.41,0,66.68,0,1.4,70.74,0,13.61
 60-70,0,0,0,56.75,0,0,71.32,7.99,20.1,6.91,102.04,0,0,4.76,4.31,0.58,15.42,0,0,28.1,371.15,2.63,15.17,26.1,116.29,25.93,1.79,7.98,0,2.07,102.56,0,0,0,4.52,0,21.27,0,1.24,89.37,4.58,38.9
 72-82,0,0,0,31.43,0,0,70.04,19.74,30.6,18.06,111.87,4.4,0,3.77,5.34,1.26,1.31,0.56,0,2.93,414.16,0,25.06,43.84,90.09,13.03,1.07,11.76,1.13,3.24,84.92,0,0,1.81,0.59,0,16.26,0.61,10.78,82.48,4.37,40.14
 84-94,0,0,0,49.66,0,0,72.5,5.27,50.56,9.17,95.26,3.06,0,2.15,4.78,3.76,6.82,3.12,0.59,20.49,325.88,4.81,10.2,25.54,55.1,8.75,3.38,16.21,0,1.68,149.34,0,0,0.74,1.43,0,10.9,0.81,2.82,90.56,8.47,14.74
 96-106,0,0,0,43.96,3.34,1.14,80.54,5.68,25.49,15.07,96.2,2.66,0,7.88,8.28,2.16,14.45,2.68,0.7,10.06,333.55,0.71,13.16,25.98,88.74,8.24,0,7.2,0,7.8,129.14,0,0,0.82,0,0,2.27,4.1,24.3,114.53,21.43,20.61
108-118,0,0,0,91.27,1.27,0.91,66.36,10.26,42.64,2.83,111.42,11.07,0,2.69,5.52,4.14,26.95,3.36,3.74,39.04,417.88,3.89,17.44,28.44,68.28,8.6,0.42,8.83,0,25.19,98.51,0,0,1.12,5.04,0,4.87,0,8.81,74.68,8.98,46.3
120,1.12,0,0,129.28,0,0,82.83,6.16,47.47,23.43,126.39,14.85,0,1.85,6.25,1.65,18.64,1.12,5.44,12.46,483.56,1.49,17.23,21.8,88.2,35.21,4.1,22.42,0,0,59.2,0,0,1.02,2.35,0,1.75,1.19,14.5,119.27,10.07,23.03
