stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0
 36-46,0,0,0,0,0,1.03,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0
 48-58,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,1.16,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0
 60-70,0,0,0,0,19.83,2.01,0,0,0,0.8,0,0,0,0,0,0,0,0,2.2,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.6,0.57,415.25,3.86,0,0,0,0,0,0,0,0,0,0,0.89,0,7.42,0.79,0,0,41.96,0,0,0,0,0,1.19,0,0,0,0,0,1.02,0,0.55
 84-94,0,0,6.9,0,1246.53,39.92,0,0.78,0.91,9.87,0.61,0,0,0,0,0,2.07,0,3.95,0,0,0.83,87.72,0,0,0,0,0,3.83,0,0,0,2,0,0,0,6.37
 96-106,0,0.89,2.32,17.1,2814.38,103.12,1.46,9.05,0,10.86,5.36,2.51,4.89,1.95,0,0,2.41,0,31.48,7.58,1.26,5.16,197.55,0.67,0,1.89,0,1.32,5.83,0,0,0,6.51,0,1.44,2.58,0.68
108-118,0,3.62,8.06,7,9684.64,140.83,1.09,3.01,1.29,29.86,12.24,0,4.12,0.73,11.58,0.97,10.76,7.12,43.9,0,2.89,5.89,378.18,1.15,1.56,4.96,0,7.78,43.34,0.48,0.86,0,13.58,2.3,6.19,1.85,0.48
120,0,0,5.57,4.54,3289.11,67.55,0,0,4.24,29.57,0,0,6.24,0,0,0,21.43,0,61.74,0,15.02,5.72,300.94,0,2.34,3.91,0,4.59,12.05,0,0,0,28.35,0,2.85,12.52,0
