stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.41,1.23,10.77,4.69,0,1.31,0,0,1.25,0,1.19,0,1.53,3.91,0,0,0,0,4.43,0,0,0,48.2,0,0,0.9,0,0.98,1.81,1.13,0.99,32.37,0,0,3.47,0,0
 24-34,0.61,0,9.47,1.59,0,3.57,0,0,3.6,0,0.67,0,0.98,7.92,0,2.94,0,2.72,4.24,0,0,3.12,90.47,1.32,5.25,2.34,0,25.9,0,2.47,0,39.45,0,0,2.1,0,0.77
 36-46,0,0,0.56,0,0,5.39,0,4.33,8.24,1.96,1.26,0,6.33,0,0,0,0,0,15.33,0.63,0,7.03,78.77,0.56,4.68,0,0,42.86,0,0.94,0,27.46,0,0,0,0,5
 48-58,0,0,4.8,0,0,10.38,1.33,1.19,14.22,0.89,1.43,0.64,1.08,0.38,0.41,0.86,0,0.57,24.03,2.72,0,0.4,45.04,0.49,6.24,0,0,19.26,0,0,0,22.89,0,0,0.86,0,3.74
 60-70,0,0,24.24,0,0,26.62,0.59,1.62,34.11,0,0,0,13.83,2.43,0,0,0,0,42.82,1.09,2.48,6.18,53.42,0,3.36,3.55,0,37.54,0,1.87,0,9.79,0,0,2.83,0,12.4
 72-82,1.92,0,3.62,0,0,21.38,0.69,3.09,30.29,0.81,0,0,3.08,0.66,0,0.6,0.72,1.07,69.03,4.53,0,6.09,34.73,0,9.46,2.27,0,15.73,0,0.97,0,8.16,1.73,0,3.26,0,3.3
 84-94,4.58,0,17.9,11.82,0.76,11.45,1.94,0,23.55,11.81,0.86,0,5.03,3.6,0.7,5.21,0.58,4.27,45.79,3.25,2.37,7.75,59.43,0,7.25,1.3,0,49.21,0,3.17,0,9.36,0,2.24,7.18,1.17,10.1
 96-106,3.74,0,11.84,0,0.97,15.14,0.86,1.12,41.45,3.71,0,0,11.31,9.25,1.98,0.84,1.13,0,51.91,3.99,0.68,4.49,22.38,0,7.23,2.72,1.54,88.23,0,0.82,0,2.7,3.18,1.88,4.43,0,0
108-118,3.05,0,17.33,1.36,0,24.24,11.4,3.59,26.27,8.54,0,1.65,16.02,2.33,3.08,1.62,5.02,1.01,75.88,2.13,2.41,5.44,30.38,0.67,6.33,0,0,44.88,0,0,0,1.12,2.39,4.69,5.04,0,1.28
120,0,0,16.37,3.6,2.19,6.42,2.5,0,29.95,6,0,2.27,4.7,8.16,0,0,11.26,0,30.64,2.05,2.21,3.79,40.19,4.49,11.55,0,0,77.04,0,0,0,0,0,0,18.12,0,0
