stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.62,89.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0
  5-6,0,193.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,16.71,0,11.94,0,0,10.82,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,134.63,3.96,0,0,78.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,0,24.57,0,15.91,26.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.56,5.5,0,0,81.99,0,4.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,6.93,0,2.14,0,0,1.08,0,0,0.97,0,0,0,0,0,0.82,0,0,3.2,22.23,0,0,1.38,0,0,0.86,1.1,0,2.27,8.48,0,0,0,0
 24-34,0,0,0.61,0,4.8,0,2.55,0,0,0.94,0,0,0,0,0.77,0,0.61,0,7.69,0,0,2.7,66.27,2.26,0,0,0,6.82,0,0,6.89,0,27.42,0,0,0,0.75
 36-46,0,0,0,0,1.39,0,8.15,0,0,1.96,1.33,0,0,0,0.93,0,0,0,6.84,0,0,1.47,40.99,0,0,1.78,0,0.65,0,0,0,0,8.59,0,0,0,0.67
 48-58,0,0,0,0,0,0,20.57,1.01,0,10.66,0.38,0,0,0,0,0,0,0,16.84,0,0,0.41,58.7,0,0.38,0,0,1.44,0,0,0,0,11.11,0,0,1.1,1.47
 60-70,0,0,0,0,4.18,0,26.58,2.12,0.78,3.9,0,0,0,0.86,0,0,0,4.38,10.06,0,0,1.41,42.52,0,0,0,0,0,0,0,1.41,0,4.24,0,0,17.93,0
 72-82,0,0,0.98,0,0.64,0,6.35,0.71,0,9.86,0,0,1.5,0,0,0,0.62,0,29.88,0,1.08,0,36.19,0,0,0.54,0,0.55,0,0,0,0,0.93,0,0,0.89,0
 84-94,0,0,0,0,1.42,0,21.64,0,0,3.58,1.66,0,2.1,0.58,0.75,0.74,0,0,9.39,0,0,1,14.19,0,0,0,0,1.62,0,1.44,0,0,2.63,0,1.17,5.02,0
 96-106,0,0,0,0,4.54,5.86,10.69,0,0,5.66,0.71,0,1.98,0,0,0,0.94,0,22.26,0,0.93,3.05,23.47,0,1.1,1.5,0,2.28,0,0,0,0,2.6,0.61,0,0.93,0
108-118,0,0,0,0,0.9,1.32,21.01,0,0,3.75,0,0,0,0,0.43,0,0,0,27.06,0,0,0,25.1,0,0,3.07,0,0.44,0,0,0,0,0.45,1.6,0,1.13,0
120,0,0,0,0,17.51,0,21.56,1.83,0,46.44,1.26,0,0,1.49,0,0,0,0,12.75,3.54,0,2.4,45.58,0,0,0,0,2.43,0,0,0,0,0,3.15,0,1.7,0
