stage,axial,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,11.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,18.23,0,0,0,0
 14-21,0,0,0,10.13,0,0,0,0,0,0,0,0,19.82,1.55,1.02,0,0,0,27.04,0
 24-34,0,0.88,0,4.47,0,0,0,0,0,0,0,0,18.13,0,0,0,0,2.69,16.64,0.84
 36-46,0,0,0,10.26,0,0,0,0,0,0,0,0,28.66,7.99,0,0,0,1.05,15.63,0.81
 48-58,0,0,8.62,11.12,0,0,0,0,0,0,0,0.44,24.49,10.74,0,0,1.55,1.02,12.08,0
 60-70,0,0,3.26,21.1,0,0,0,0,0,0,0,0,26.45,6.9,1.32,0,0,0,18.52,0
 72-82,0,0,4.3,34.03,0,0,0,1.02,0.74,0,0,0,44.85,14.2,0.61,0,0,0.57,13.89,0
 84-94,0,0.56,13.28,25.82,0,0,0,0,1.73,1.86,1.51,0,33.4,6.07,3.93,0,1.68,0.7,6.91,0
 96-106,0,0,7.35,62.72,0,0,0,0,4.51,11.6,0,0,36.63,7.35,7.42,0,0,0,6.22,0
108-118,0,1.19,2.32,53.82,0,0,2.81,0,3.11,0,0,0,67.62,11.62,10.82,0,0,0.64,3.71,0
120,0,0,8.59,61.27,1.09,0,0,0,8.11,0,0,0,105.83,22.27,18.2,0,0,2.81,7.51,0
