stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,9.41,1.04,0.96,0,0.9,0,0,0,0,0,0,1.05,0,0,1.01,36.59,0,0,0,0.83,0,4.47,0,0.99,2.02,12.63,0,0,0
 24-34,0,0,0,12.02,0,0,0,0.8,0,1.81,0,0.61,5.64,0,0,5.42,169.41,0.6,1.79,1.07,0,0,0,0,0,0,30.32,0,2.43,0
 36-46,0,0.61,0,23.17,0,13.28,0,0,0.64,0,0,0,8.48,0,0,1.72,181.22,0,0,0,0,0,0,0,0,0,30.78,0,0,0
 48-58,0,0,0,36.01,0.66,4.36,0,0,0,0,0,0.37,10.32,0,0.37,1.65,153.45,0,3.52,0,0,0,0,0,0,0,17.66,0,0.73,0
 60-70,0,0,0,57.97,0,7.02,0,0,3.36,0,0,0,4.36,0.9,0,1.16,138.53,0,1.69,0,0,0,0,9.88,0,0,16.76,0,0,0
 72-82,0,2.38,0,29.84,0,10.73,0.88,0,1.25,2.05,0.89,0,17.71,0,1.4,0.8,115.41,0,1.14,0,0,0.71,0,0,0,0,9.37,0,1.26,0
 84-94,0,0,0,46.07,0.74,1.64,0,1.84,2.16,1,0,0,17.71,0,2.25,0,41.28,0,0,0.84,0,0,0,0,0,0,13.98,0,2.81,0
 96-106,1.19,3.46,0,16.38,2.07,6.38,1.56,0,0.56,0,0,0,7.6,0,0,0,39.91,0,0.87,0,0,1.17,0,0,0,0,0,0,0.75,1.85
108-118,0,0,0,7.53,1.03,2.43,0.97,2.29,0.6,0,0,0.61,7.6,0,0,0,38.91,0,1.07,1.56,0,1.14,0,0,0,0,1.4,0,3.54,0.5
120,0,1.72,0,2.05,1.67,14.37,0,4.06,5.05,0,0,0,0,0,0,1.9,90.49,0,0,0,0,0,0,0,0,0,0,1.54,3.65,0
