stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0
 24-34,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0
 36-46,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,2.09,0,0,0,0
 48-58,0,19.39,0,8.95,4.3,0.42,1.37,1.61,0,0,0,0,0,0,0,0,0,13.34,0,0,0,0,0,0,0
 60-70,0,32.11,0,12.98,0,0,0,7.67,0,0,0,0,0,0,0,0,0,26.17,0,1.24,1.03,0,0,0,0
 72-82,0,53.28,5.7,6.21,0,0,0,37.52,0,0,1.05,0,0,0,6.1,0.49,0,47.86,0,3.58,0,0,0.79,0,0
 84-94,1.26,75.28,1.45,1.89,3.1,0,0,72.84,0,0,2.83,0,0,5.22,0.69,0,0,45.78,0.58,2.61,0,0,0,0,0
 96-106,5.51,143.58,8.45,15.93,15.2,0,5.52,117.17,0,0,5.88,0,0,0,5.04,0,5.07,53.63,0,7.55,3.08,0,0,0.97,0.8
108-118,0.76,167.7,3.04,3.93,3.44,0,1.97,166.33,1.1,24.44,12.35,15.89,0,0,6.82,0,0.63,129.15,0,27.35,1.11,0.65,0,0,0
120,0,229.47,2.55,5.92,4.59,0,7.31,134.35,0,0,49.58,9.47,7.86,0,0,0,0,472.78,0,6.58,3.94,1.22,8.67,0,0
