stage,blastomeres,epidermis,erythrocytes,eye,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
  5-6,7.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.74,0,0,0
 10-12,0,0,0,15.09,0,0,8.07,4.35,3.81,0,0
 14-21,0,0,0,0,0,0,1.27,0,0,1.02,0
 24-34,0,0,0,0,0,0,7.37,0,3.81,1.46,0
 36-46,0,0,0,1.29,0,2.4,4.65,0,0,0,0
 48-58,0,0,0,0,0,0.78,1.32,0,0,0,0
 72-82,0,0,0,1.21,0,1.13,2.01,0,0,0,1.45
 84-94,0,2.07,6.49,0,0,0,0,0,0.78,0,0
108-118,0,0,0,0,0,0,0,0,0.5,0,0
120,0,0,0,0,1.77,0,0,0,4.27,0,0
