stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,126.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85,0,0,0,7.15,7.79,0,0,0,0,0,0
 10-12,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.08,15.33,0,0,11.75,0,0,0,0,0,0,0
 14-21,0,2.74,2.05,1.83,0,0,0,0,0,0,0,0,1.69,0,0,2.8,0,0,1.36,27.06,0,0,4.45,0,1.35,3.68,1.66,3.49,7.97,0,0
 24-34,0,0.81,0,9.32,0,0,0,0.9,0,0,0,0,0.96,0,0,0,0.69,0,2.08,11.01,0,0.69,0,0,0,0,4.36,0,0.74,0,0.88
 36-46,0,0,3.14,3.95,0,0,0,0.99,0,0,0,0,0,0,0,6.02,0,0,0.92,5.66,0,0,0,0,0,0,15.98,0,0,0,0
 48-58,0,0.54,0,12.69,0,0,0.85,2.7,0,0.42,0,0,0,0,0,2.49,0,0,0,2.46,0,0,0,0,4.61,0,1.28,0,1.05,0,3.77
 60-70,0,0,0,152.91,0,0,0,0,0,1.77,0,1.06,0,0,5.55,0.92,0,1.12,0,11.95,0,0,0,0,0,0,4.44,0,0,0,0
 72-82,0,0.52,2.39,294.33,0,0,0.57,2.77,0,1.69,0,0,0,0,0,10.86,0,0,0,9.83,0,0,0,0,0,0,1.62,0,3.97,0,0
 84-94,0,0,0,441.81,0,0,0,2.66,0.8,0,0,0.91,1.27,0.61,0,6.64,0,0,1,19.33,0,0,0,0,5.79,0,3.25,0,0,0,0
 96-106,0,13.01,1.2,615.04,7.94,11,0,1.83,0,0,0.92,0,0,2.14,0,5.12,1.41,0,0,14.41,0,0,0,0,0,0,1,0,0,0,0
108-118,0,0.46,0.95,685.56,0,0,0,1.85,2.06,0,0,3.24,1.84,1.96,0,3.38,0,2.45,0,23.25,0.48,0,0,0,2.08,0,5.34,0,6.36,0.71,0
120,0,20.22,0,996.24,0,8.85,0,0,1.12,0,0,8.54,1.28,0,0,2.67,0,0,4.71,133.62,0,0,0,0,0,0,1.04,0,0,0,0
