stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,16.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,11.44,4.06,0,3.57,0,0,0,0,0,0,0
 10-12,0,4.92,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,53.57,4.75,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,2.85,0,1.11,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,1.49,1.25,0,0,0
 24-34,0,0,0,0,1.48,0,0,0,0,0,0.65,0,0,0,0,0,1.67,5.77,0,0,0,0,0,0,0.7,0,0,0
 36-46,0,0,0,0,0.58,0.6,0,0,0,0,0,0,0,5.31,0,0,0.79,4.25,13.52,0,0,0,19.85,0,0,0,2.3,0
 48-58,0,0,0.38,0,6.02,0.9,2.1,0,0,0,0,0,0,7.68,0.49,0,0,3.62,0,0.53,0,0,0.39,0,0.62,0,0,0
 60-70,0,0,0,1.1,7.08,0,1.42,0,0,0,0,0,0,8.6,2.16,0,0,1.59,0,0,0,0,0,0,1.86,0,0,0
 72-82,0,0,0,0,5.86,0,2.44,0,0,0,0,0,0,6,0.67,0.67,0,17.61,0,0,0,0,1.04,0,0,0,0,0
 84-94,0,0,0.55,0,7.1,0,3,0,0,0,0,0,0,8.2,0,0,1.79,7.04,0,0,0,0,1.49,0,0,0.78,0,0
 96-106,0,0,0,0,3.27,0,1.81,1.61,0,1.36,0,0,0.59,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.49,0,0,0,3.98,0.5,0,0,0,1.46,0,16.44,0,0,0,7.07,0,0,0,2.98,1.12,0,0,0,1.1,1.09
120,0,0,0,0,0,0,0,1.21,0,1.65,0,6.44,0,19.64,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0
