stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,20.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,14.12,0,0,0,0,0,0,0
 14-21,0,4.14,0,1.73,0,0,0,0,0,0,0,0,1,0,0,34.81,0,0,0,0.88,0,4.13,1.2,11.68,0,0,0
 24-34,0,0,0,3.54,0,1.53,0,0.7,0,0,0,0,0,0,0,43.07,0.65,0,0,0,0,0,0,7.63,0,0,0.89
 36-46,0,1.27,0,8.12,0,0,0,0,0,0,0,0,8.35,0,0,79.77,0,0,0,0,0,0,0,11.42,0,0,0
 48-58,0,0,0,20.57,0,0,0,5.13,0,0,0,0,4.11,0,1.02,62.85,0,0.85,0,0,1.13,0,0,13.55,0,0,0
 60-70,0,1.4,0,18.78,0,0,0,2.85,0,0,0,0,4.7,0,0.88,52.17,0,0,0,0,0,0,0,9.09,0,1.03,0
 72-82,0,0,0,32.45,0,0,0.89,2.87,0,0,0,0,0.62,1.13,0,36,0,0,0,0,0,0,0,5.7,0,0,0
 84-94,0,0,0,19.79,1.17,0,0,4.18,0,0,0,0,1.45,0,0,13,0,0,0,0,0,0,0,2.06,1.01,0,0
 96-106,0,0,2.06,0.6,0,0,0,1.85,0,0,0,0,3.02,0,0,8.39,0,0,0.98,0,0,0,0,0,0,0,0
108-118,0,1.28,0,2.19,0,0.72,0,2.32,0,0,0.64,0.69,1.15,0,1.12,12.65,0,0,0,0,0.91,0,0,7.58,0,0,0
120,0,4.56,0,0,0,0,0,3.92,1.31,3.24,0,0,0,0,1.49,13.66,0,0,0,0,0,0,0,0,0,0,0
