stage,epidermis,eye,lateral.line,neural,presomitic.mesoderm,pronephros,spinal.cord
 14-21,0,0,0,1.28,1.36,0,0
 24-34,0,0,0,0,0,0.94,0
 48-58,0,0,0,5.2,0,0,0
 60-70,2.25,0.63,0,0,0,0,1.56
 72-82,0,0,1.04,0.95,0,0,0
 84-94,0,0,0,2.08,0,0,1.28
108-118,0,0,0,0,0,0,0.52
