stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,680.24,611.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,2754.98,124.45,26.4,0,0,0,0,0,0,0,0,1743.38,0,0,0,0,0,0,0,0,0,0,0,66.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,896.22,34.05,313.47,0,5.98,0,626.19,0,0,0,0,23472.12,0,0,0,0,0,0,0,0,0,0,0,639.82,52.55,0,0,105.06,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,24.45,65.86,288.17,0,0,0,2834.09,0,0,0,0,6406.2,0,0,0,0,0,0,0,0,0,0,0,4884.37,47.74,0,0,138.33,0,0,0,51.03,0,0,0,0,0,0,0,0
 14-21,0,0,10.77,214.35,26.77,0,163.09,0,0,5.37,0,142.3,0,0,2.94,0,0,0,0,96.94,0,0,14.7,1829.57,16.27,12.08,3.54,0.81,0,0,10.92,1.71,0,9.68,59.11,0,0,1.01,0,0
 24-34,4.02,0,4.09,24.32,1.24,0,106.76,0.95,0,1.75,1.02,2.95,0,0,3.21,0,0,0,4.82,11.99,6.1,0,2.88,856.54,10.11,3.95,4.23,0,0,0,0,0.69,0,0,69.06,0,0,40.33,0,1.3
 36-46,0,0,0.93,4.07,0,0,206.35,0,0,12.09,0.56,0,0,0,0,0,0,0,0,11.04,1.6,0,1.27,901.12,15.43,1.66,3.96,0,4.01,0,0,0,0,0,87.64,0,0,16.5,0,0
 48-58,0,0,0,2.06,0.45,0,282.44,0,0.39,28.39,0,0,0,0,0,0,0.73,0,0,45.19,7.87,0,5.04,1396.19,20.37,2.64,3.37,0,0,0,0,0,0,0,184.42,0,1.6,5.37,0,0
 60-70,0,0,0,13.84,0,0,347.88,0,0.62,28.35,0,0,0.6,0,0,0,0,1.73,0,39.42,3.02,7.39,0,752.46,29.53,0,1.72,0,0.6,0,0,0,0,0,116.58,0,3.04,0.89,0,5.13
 72-82,0,0,0,12.24,8.07,0,297.97,0.81,1.88,40.39,0.62,0,1.79,0.52,0,1.24,0,0,0,72.66,8.88,0.88,0,975.92,10.52,1.18,3.67,0,2.04,0,0,0.64,3.45,0,102.85,0,4.47,22.71,1.55,5.51
 84-94,0,0,0,7.37,1.17,0,228.64,0,9.6,36.17,1.36,0,0,0,0,0,0,0,0,48.33,2.13,4.19,1.33,650.33,12.62,1.28,4.07,0,14.78,0,0,0,0,0,91.7,7.81,2.37,18.08,0,0
 96-106,0,0,0,7.35,17.46,0,174.11,0,7.34,71.3,7.21,0,0.58,0,0,0.77,1.48,0,0,64.69,10.22,5.05,4.38,535.99,15.72,1.44,3.16,0,9.46,0,0,0,0,0,31.41,0,21.89,19.91,1.78,0
108-118,0,0,0,19.26,3.46,3.16,205.75,0.41,2.68,80.91,5.01,0,0,0,1.57,0.53,0,0,0,46.53,6.45,7.19,5.18,680.11,9.32,0.53,0.43,0,3.39,0,0,0,0,0,15.21,0.71,14.53,9.57,2.32,0
120,1.12,0,0,35.04,2.63,0,134.33,5.35,4.5,77.4,2.78,0,0,0,0,7.44,1.34,0,0,61.74,2.91,0,5.65,604.6,20.74,0,11.95,0,0,0,0,0,0,0,12.14,0,7.2,10.03,0,0
