stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,41.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0
  5-6,7.56,37.86,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56,0,0,17.39,13.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.56,0,0,15.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,2.13,0,0.82,0,0,1.57,0,0,0,0,0,0,0,0,0,0,1.4,22.05,3.25,0,0,2.49,2,1.54,1.23,1.86,18.86,0,0,0,0
 24-34,0,0,0.71,0.86,0,1.25,0,0,1.43,0,0,0,0,0,0,0,0,1.76,0,2.04,365.14,20.16,0,0,1.58,0,0,0,0.67,72.96,0,0,0,0
 36-46,0,0,0,2.1,0,6.01,0,0,24.96,0,0,0,0,0,0,0,0,22.85,0,1.85,904.7,21.44,0,0,0,0,0,0,0,113.49,0,0,0,0
 48-58,0,0,0,1.84,0,42.43,0,0,77.38,0,0,0.44,0,0,0,0.44,0,10.43,0,5.15,1623.34,22.52,0,0,0,0,0,0,0,91.28,0,0,0,4.53
 60-70,0,0,0.91,2.72,0,68.34,0,0,84.46,0,0,0,0,0,0,0,0,7.97,1.09,1.72,2303.6,34.17,1.42,0,2.52,0,0,0,0,96.98,0,0,0,0
 72-82,0,0,0,12.82,4.57,123.89,2.82,0,86.39,0,0,0,0,0.5,0,0.89,9.19,27.12,1.73,0,2706.19,26.32,0,0,1.83,0,0,0,0,80.41,0,0,0,0
 84-94,0,0,0,3.34,1.08,106.56,0,1.88,73.39,3.1,0,0,0.64,0,0.67,0,1.22,19.46,2.26,4.71,1662.49,14.33,7.38,0,3.41,0,0,0,0,46.56,0,0,0,0
 96-106,0,0,1.14,3.83,8.33,98.87,0,0,73.02,1.38,0,0,0,0,0,0,0,13,0,2.2,1714.37,26.03,0,0,9.33,0,0,0,0,21.69,0.72,8.43,0.61,0
108-118,0,0,0.71,11.7,0.86,154.85,1.32,0,85.67,4.42,0,0,0,0,0,0,2.5,11.19,0,0.6,1659.41,24.18,0.78,0,3.93,0,0,0,0,20.57,0.67,3.98,0,0
120,0,0,1.43,0,0,119.86,0,0,65.4,8.33,0,0,1.85,2.86,0,0,0,0,0,2.57,1902.1,10.89,0,0,0,0,0,0,0,61.56,0,0,0,0
