stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,264.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,370.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.53,18.92,19.2,0,0,0,58.2,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,521.6,24.66,0,0,207.48,0,0,4.57,0,0,0,0,0,0,0,0,0
 10-12,3.8,42.13,82.37,0,4.67,0,110.17,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,787.26,52.47,0,0,313.39,0,0,0,0,84.72,0,0,0,0,0,0,0
 14-21,0,0,7.91,42.18,7.48,0,32.55,0,0,5.94,2.13,0,0,0.9,1.48,0,0,0,1.13,27.46,0,15.08,418.68,27.1,0.85,4.64,22.55,0,2.91,1.28,37.09,5.21,15.17,97.99,0,0,1.45,0,0
 24-34,0,0,0.86,6.16,6.48,0,40.61,0,0,5.96,0,0,0,0,0,0,1.66,0.65,0,29.57,0,9.94,393.96,6.43,2.26,1.22,0,0,8.61,0,0,0,1.4,67.99,0,0,1.68,0,0
 36-46,0,0,0,12.34,2.32,0,70.32,0,1.13,8.75,0,0,0,1.59,0,0,0,0,0,25.84,0,5.91,211.94,5.03,3.48,1.41,0,0,12.4,0,0,0,0,47.9,0,1.04,1.21,0,0
 48-58,0,0,0,10.64,1.99,0,65.84,3.39,4.34,10.25,0.43,0.57,0,0,0,0.76,0,1.81,0,30.75,0.41,5.57,99.36,0,0.4,1.37,0,0,11.5,0,0,0,0,8.65,0,0,4.57,0,3.8
 60-70,0,0,0,14.05,0,0,68.92,1.42,2.63,14.73,1.79,0,5.68,0,0,0,0,0,0,31.12,3.63,2.98,56.83,0.68,0,0.99,0,0,10.39,0,0,0,0,18.18,0,0,1.02,0,0
 72-82,0,0,0,4.8,0,0,15.98,2.99,1.08,20.85,0,0,2.04,0.5,0,0,0,0,0,46.08,0,6,51.81,0.88,0,2.69,0,0,0.73,0,0,0,0,2.75,0,0,1.76,0.68,5.09
 84-94,0,0,0,12.61,0,0,14.22,0.66,0,7.21,0.76,0,0,1.58,0,0.75,0,9.2,0,42.7,1.64,1.11,26.51,0.84,1.9,1.46,0,0,19.9,0,0,0,0,11.42,0,1.08,2.53,0,0
 96-106,0,0,0,7.48,1.13,0,14.35,2.75,2.11,25.45,0,0,0,4.82,0,0,0.92,0.82,0,62.26,1.66,4.58,40.69,0.61,2.01,7.5,0,3.04,19,0,0,0.67,0,8.08,4.71,3.45,5.42,0,0
108-118,0,0,0,6.65,1.03,0.61,19.75,3.99,3.72,12.93,0.99,0,0,4.32,1.76,2.32,1.21,1.49,0,60.93,2.84,7.92,81.18,1.42,0.57,4.09,0,0.87,4.95,0,0,0,0,6.58,2.46,4.55,1.33,0,7.5
120,0,0,0,12.21,4.21,0,26.61,18.36,0,44.76,1.19,0,3.15,5.28,0,1.11,0,6.84,0,66.09,0,7.99,37.95,0,0,0,0,0,5.23,0,0,2.89,0,0,0,0,1.09,5.18,0
