stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,69.2,1315.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.58,0,0,0,0,0,0,0,0,0,0
  5-6,37.21,483.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.42,0,0,0,14.83,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,104.46,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,53.13,0,0,0,11.17,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,3.48,0,0,9.34,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,19.47,0,0,0,0,0,0,0,2.81,0,0.99,0,0,0,0,0,2.76,0,0,3.84,9.45,6.23,0,0,0,0,2.1,0,4.69,0,0,2.84,7.47,0,0,0,0
 24-34,0,0,0,0,2.13,0,0,3.87,1.96,0,0,0,0,0.94,15.9,0,0,0,7.45,0,14.56,0,0,2.36,54.73,8.11,2.32,0.61,0,0,9.05,0,0,0,0,1.3,14.63,0,0,16.6,0
 36-46,0,0,0,0,4.04,0,0,29.8,6.08,2.97,17.38,0,0,0,8.77,0,0,0,1.07,1.84,5.85,0,1.59,2.63,119.77,3.37,6.63,0,0,0,16.04,0,0,0,0,0,27.11,0,0,12.57,0
 48-58,0,0,0,0.51,0,0,0,50.81,6.28,4.42,69.16,0.49,0,0.55,9.09,0,14.55,1.35,2.37,8.47,11.6,1.07,1.02,3.48,229.52,2.75,3.41,0,0,0,13.51,0,0,0,1.46,0,55.43,0,0,2.8,0
 60-70,0,0,0,0,2.32,0.71,0,133.58,12.92,17.9,89.1,0,0,0,4.12,0,0.7,0,0,5.94,52.02,2.76,0,7.65,387.59,7.74,0.96,0,0,3.93,28.83,0,0,0,1.33,0,85.47,0,0.94,13.01,0
 72-82,0,0,0,0,8.62,0.64,0,192.08,18.13,2.77,101.39,1.99,0,0,9.4,1.06,0.52,0,0,1.51,53.29,1.89,0,1.32,457.41,0,2.08,1.25,0,3.54,11.14,0,0,0,0,0,64.63,0.62,2.42,6.68,0
 84-94,0,0,0,0,7.68,0.84,0,103.88,7.97,5.16,87.3,5.65,0.74,0,21.49,0.55,3.6,0.8,0,15.1,34.45,16.75,0,4.6,196.35,0,8.15,1.09,0,0.77,23.97,0,0,0,0,0,25.98,0,0,10.53,0
 96-106,0,0,0,0,8.77,3.97,0.6,98.28,9.72,3.04,81.5,7.12,0,0,10.06,0,4.53,6.7,10.54,5.13,76.8,7.91,1.32,1.97,199.12,1.51,1.99,1.47,0,0,17.91,0,0,0,0,0,23.86,2.08,0,3.72,0
108-118,0,0,3.68,0.74,1.85,2.9,0.81,133.85,8.52,2.34,91.54,12.54,0,0,14.24,0,4.54,1.02,2.03,2.47,45.27,19.07,0,0,284.43,1.77,1,2.84,0,4.88,21.83,0,0,0,0,0,15.4,9.65,3.5,12.63,0
120,0,0,0,0,53.42,4.08,0,107.47,2.16,0,75.26,22.43,0,0,61.84,0,3.57,2.13,0,5.63,114.69,3.69,0,0,421.25,0,3.36,4.59,0,0,16.25,0,0,3.15,0,0,77.79,5.46,0,4,7.26
